CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,행정구역,2024년04월_총인구수,2024년04월_세대수,2024년04월_세대당 인구,2024년04월_남자 인구수,2024년04월_여자 인구수,2024년04월_남여 비율
48,Gyeongsangnam-do,경상남도,48860,Sancheong-gun,산청군,127.8843379196,35.3685973605,경상남도산청군,"33,598","19,658",1.71,"16,656","16,942",0.98
48,Gyeongsangnam-do,경상남도,48870,Hamyang-gun,함양군,127.7220410571,35.551601706,경상남도함양군,"36,601","20,621",1.77,"17,792","18,809",0.95
48,Gyeongsangnam-do,경상남도,48880,Geochang-gun,거창군,127.9041695513,35.7325521928,경상남도거창군,"59,971","31,223",1.92,"29,525","30,446",0.97
48,Gyeongsangnam-do,경상남도,48890,Hapcheon-gun,합천군,128.1415437039,35.5765774549,경상남도합천군,"40,879","23,914",1.71,"20,029","20,850",0.96
50,Jeju-do,제주특별자치도,50110,Jeju-si,제주시,126.5292476123,33.4422018792,제주특별자치도제주시,"489,780","224,974",2.18,"244,552","245,228",1.0
50,Jeju-do,제주특별자치도,50130,Seogwipo-si,서귀포시,126.5810385835,33.3249819065,제주특별자치도서귀포시,"182,995","88,823",2.06,"92,122","90,873",1.01
51,Gangwon-do,강원특별자치도,51110,Chuncheon-si,춘천시,127.7398684439,37.8897967867,강원특별자치도춘천시,"286,695","136,782",2.1,"141,529","145,166",0.97
51,Gangwon-do,강원특별자치도,51130,Wonju-si,원주시,127.9295253343,37.3082228774,강원특별자치도원주시,"361,223","172,087",2.1,"179,013","182,210",0.98
51,Gangwon-do,강원특별자치도,51150,Gangneung-si,강릉시,128.8323788599,37.7091019724,강원특별자치도강릉시,"208,627","104,056",2.0,"103,389","105,238",0.98
51,Gangwon-do,강원특별자치도,51170,Donghae-si,동해시,129.0556276162,37.5067198237,강원특별자치도동해시,"88,094","43,443",2.03,"44,700","43,394",1.03
51,Gangwon-do,강원특별자치도,51190,Taebaek-si,태백시,128.9800726125,37.1723124096,강원특별자치도태백시,"38,272","20,275",1.89,"19,340","18,932",1.02
51,Gangwon-do,강원특별자치도,51210,Sokcho-si,속초시,128.5195484084,38.1760311549,강원특별자치도속초시,"81,615","41,412",1.97,"40,346","41,269",0.98
51,Gangwon-do,강원특별자치도,51230,Samcheok-si,삼척시,129.1218985734,37.277449225,강원특별자치도삼척시,"62,501","33,996",1.84,"31,821","30,680",1.04
51,Gangwon-do,강원특별자치도,51720,Hongcheon-gun,홍천군,128.0742608511,37.7450490652,강원특별자치도홍천군,"67,206","34,782",1.93,"34,625","32,581",1.06
51,Gangwon-do,강원특별자치도,51730,Hoengseong-gun,횡성군,128.0770673994,37.5091420709,강원특별자치도횡성군,"46,355","23,990",1.93,"23,831","22,524",1.06
51,Gangwon-do,강원특별자치도,51750,Yeongwol-gun,영월군,128.5002960342,37.2041136139,강원특별자치도영월군,"37,160","21,298",1.74,"19,219","17,941",1.07
51,Gangwon-do,강원특별자치도,51760,Pyeongchang-gun,평창군,128.4825899889,37.5568392092,강원특별자치도평창군,"40,537","22,063",1.84,"21,000","19,537",1.07
51,Gangwon-do,강원특별자치도,51770,Jeongseon-gun,정선군,128.7390631646,37.3786862919,강원특별자치도정선군,"33,950","19,262",1.76,"17,714","16,236",1.09
51,Gangwon-do,강원특별자치도,51780,Cheorwon-gun,철원군,127.3989243952,38.2390852278,강원특별자치도철원군,"41,063","20,460",2.01,"21,235","19,828",1.07
51,Gangwon-do,강원특별자치도,51790,Hwacheon-gun,화천군,127.6851657125,38.1384262834,강원특별자치도화천군,"22,821","11,976",1.91,"12,220","10,601",1.15
51,Gangwon-do,강원특별자치도,51800,Yanggu-gun,양구군,128.0002063756,38.1756087929,강원특별자치도양구군,"20,945","10,488",2.0,"10,972","9,973",1.1
51,Gangwon-do,강원특별자치도,51810,Inje-gun,인제군,128.2647271532,38.0646002611,강원특별자치도인제군,"31,768","16,771",1.89,"17,283","14,485",1.19
51,Gangwon-do,강원특별자치도,51820,Goseong-gun,고성군,128.4111555276,38.3627536323,강원특별자치도고성군,"27,221","15,392",1.77,"13,964","13,257",1.05
51,Gangwon-do,강원특별자치도,51830,Yangyang-gun,양양군,128.5951041324,38.0045104948,강원특별자치도양양군,"27,608","15,035",1.84,"14,137","13,471",1.05
52,Jeonbuk-do,전북특별자치도,52111,"Wansan-gu, Jeonju-si",전주시 완산구,127.1207644183,35.7912493694,전북특별자치도전주시완산구,"325,282","153,521",2.12,"157,913","167,369",0.94
52,Jeonbuk-do,전북특별자치도,52113,"Deokjin-gu, Jeonju-si",전주시 덕진구,127.1117531998,35.8583232572,전북특별자치도전주시덕진구,"314,838","143,508",2.19,"156,396","158,442",0.99
52,Jeonbuk-do,전북특별자치도,52130,Gunsan-si,군산시,126.7260152462,35.950438943,전북특별자치도군산시,"258,841","124,325",2.08,"131,198","127,643",1.03
52,Jeonbuk-do,전북특별자치도,52140,Iksan-si,익산시,126.9895101698,36.023105554,전북특별자치도익산시,"268,488","130,191",2.06,"133,658","134,830",0.99
52,Jeonbuk-do,전북특별자치도,52180,Jeongeup-si,정읍시,126.9058575445,35.6026246604,전북특별자치도정읍시,"103,079","54,737",1.88,"51,395","51,684",0.99
