No,기관명,기관유형,주무부처,설립일,기관장,기관장 임기,소재지,주소,홈페이지,상위기관,x,y
129.0,주택관리공단(주),기타공공기관,국토교통부,19980928.0,서종균,20210607-20240606,경상남도,경상남도  진주시 사들로 137, www.kohom.or.kr,-,128.147856267656,35.1802849991814
130.0,주택도시보증공사,공기업(준시장형),국토교통부,20150701.0,유병태,20230619-20260618,부산광역시,부산광역시 남구 문현금융로 40(문현동),www.khug.or.kr,-,129.065854840531,35.1464917263976
131.0,중소기업기술정보진흥원,기타공공기관,중소벤처기업부,20020122.0,김영신,20230901-20260831,세종특별자치시,세종특별자치시 집현중앙로 79,www.tipa.or.kr,-,127.331496155596,36.4992781048975
132.0,중소기업유통센터,기타공공기관,중소벤처기업부,19951221.0, 이태식,20230414-20260413,서울특별시,서울특별시 양천구 목동동로 309(목동),www.sbdc.or.kr,-,126.876008647904,37.5291435349019
133.0,중소기업은행,기타공공기관,금융위원회,19610801.0,김성태,20230103-20260102,서울특별시,"서울특별시 중구 을지로 79(을지로 2가, 기업은행)",http://www.ibk.co.kr,-,126.986565470789,37.5664935315447
134.0,중소벤처기업연구원,기타공공기관,중소벤처기업부,20210609.0, 공석,-,서울특별시,서울특별시 동작구 신대방1가길 77 (신대방동 686-70),www.kosi.re.kr,-,126.906096429655,37.4867760514306
135.0,중소벤처기업진흥공단,준정부기관(기금관리형),중소벤처기업부,19790130.0,강석진,20230901-20260831,경상남도,경상남도 진주시 동진로 430 (충무공동),https://www.kosmes.or.kr,-,128.13838858036,35.1802723367714
136.0,차세대수치예보모델개발사업단,기타공공기관,기상청,20200901.0,이우진,20210215-20240214,서울특별시,"서울특별시 동작구 보라매로5길 35, 4층(신대방동, 보라매파크스퀘어)",https://www.kiaps.org,-,126.923508147169,37.4920901355933
137.0,창업진흥원,기타공공기관,중소벤처기업부,20191024.0, 공석,-,세종특별자치시,세종특별자치시 집현중앙7로 16(집현동),http://www.kised.or.kr,-,127.330881042205,36.4996205387111
138.0,축산물품질평가원,준정부기관(위탁집행형),농림축산식품부,20010727.0,박병홍,20220819-20250818,세종특별자치시,세종특별자치시 아름서길 21,www.ekape.or.kr,-,127.242778870418,36.5136035264296
139.0,충남대학교병원,기타공공기관,교육부,19720701.0,조강희,20230420-20260419,대전광역시,대전광역시 중구 문화로 282,www.cnuh.co.kr,-,127.415303889582,36.3168435594497
140.0,충북대학교병원,기타공공기관,교육부,19910720.0, 최영석,20210410-20240409,충청북도,충청북도  청주시 서원구 1순환로 776(개신동),http://www.cbnuh.or.kr,-,127.461580709683,36.6241669812126
141.0,코레일관광개발(주),기타공공기관,국토교통부,20040811.0, 공석,-,서울특별시,서울특별시 용산구 청파로 378(동자동 43-229),www.korailtravel.com,-,126.970484281315,37.549118478341
142.0,코레일네트웍스(주),기타공공기관,국토교통부,20040921.0,전찬호,20231201-20251130,서울특별시,"서울특별시 용산구 한강대로 69 용산푸르지오써밋 13,14층(한강로2가 391)",www.korailnetworks.com,-,126.964892234354,37.5270404595814
143.0,코레일로지스(주),기타공공기관,국토교통부,20031231.0, 공석,-,서울특별시,"서울특별시 중구 중림로 49 (중림동), 실로암빌딩 2층",www.koraillogis.com,-,126.968628967116,37.5577436134772
144.0,코레일유통(주),기타공공기관,국토교통부,20041202.0,김영태,20230331-20250330,서울특별시,서울특별시 영등포구 국회대로 612, www.korailretail.com,-,126.902053880256,37.5257951979369
145.0,코레일테크(주),기타공공기관,국토교통부,20041209.0,조대식,20221125-20241124,대전광역시,대전광역시 중구 대종로 476(은행동),www.korailtech.com,-,127.427108402096,36.3271364907296
146.0,태권도진흥재단,기타공공기관,문화체육관광부,20050701.0, 공석,-,전라북도,전라북도 무주군 설천면 무설로1482,https://www.tpf.or.kr,-,127.778727049105,36.0092788983726
147.0,통일연구원,기타공공기관,국무조정실,19910202.0,김천식,20230720-20260719,서울특별시,서울특별시 서초구 반포대로 217,www.kinu.or.kr,-,127.003335556023,37.4994973402657
148.0,학교법인한국폴리텍,기타공공기관,고용노동부,19980205.0, 공석,-,인천광역시,인천광역시 부평구 무네미로 478,http://www.kopo.ac.kr,-,126.7528825126,37.4806116232245
149.0,한국가스공사,공기업(시장형),산업통상자원부,19830818.0,최연혜,20221209-20251208,대구광역시,대구광역시 동구 첨단로 120,www.kogas.or.kr,-,128.729850904817,35.8868062261966
150.0,한국가스안전공사,준정부기관(위탁집행형),산업통상자원부,19740111.0,박경국,20231229-20261228,충청북도,충청북도 음성군 맹동면 원중로 1390,www.kgs.or.kr,-,127.546043105844,36.9081145407712
151.0,한국개발연구원,기타공공기관,국무조정실,19710311.0,조동철,20221201-20251130,세종특별자치시,세종특별자치시 남세종로 263(반곡동),http://www.kdi.re.kr,-,127.309690998723,36.4810968523362
152.0,한국건강가정진흥원,기타공공기관,여성가족부,20150101.0, 공석,-,서울특별시,"서울특별시 중구 퇴계로 173(충무로3가, 남산스퀘어) 21층, 24층",http://www.kihf.or.kr,-,126.991058542501,37.5618257152508
153.0,한국건강증진개발원,기타공공기관,보건복지부,20140729.0,김헌주,20231127-20261126,서울특별시,서울특별시 광진구 능동로 400 보건복지행정타운 8~10F,https://www.khepi.or.kr,-,127.08445683899,37.5650580830652
154.0,한국고용노동교육원,기타공공기관,고용노동부,20201005.0,최현호,20240429-20270428,경기도,"경기도 광주시 오포읍 봉골길 229(문형동, 한국고용노동교육원)", https://www.keli.kr,-,127.191262822634,37.3651754525994
155.0,한국고용정보원,준정부기관(위탁집행형),고용노동부,20060331.0,김영중,20230530-20260529,충청북도,충청북도 음성군 맹동면 태정로 6,http://www.keis.or.kr,-,127.550690926638,36.9050436362528
156.0,한국고전번역원,기타공공기관,교육부,20071123.0,김언종,20230601-20260531,서울특별시,서울특별시 은평구 진관1로 85,www.itkc.or.kr,-,126.928702163448,37.6309143356193
157.0,한국공예디자인문화진흥원,기타공공기관,문화체육관광부,20100401.0,장동광,20230704-20260703,서울특별시,"서울특별시 종로구 율곡로 53, 해영회관 5층",www.kcdf.or.kr,-,126.985127531969,37.576600362627
158.0,한국공정거래조정원,기타공공기관,공정거래위원회,20071203.0,최영근,20230704-20260703,서울특별시,서울특별시 중구 세종대로 39 서울상공회의소회관 9층,www.kofair.or.kr,-,126.973775321516,37.5607136539523
159.0,한국공항공사,공기업(시장형),국토교통부,20020302.0, 공석,-,서울특별시,서울특별시 강서구 하늘길 78,http://www.airport.co.kr,-,126.79971076167,37.5609018527061
160.0,한국과학기술기획평가원,기타공공기관,과학기술정보통신부,19990201.0,정병선,20211222-20241221,충청북도,충청북도 음성군 맹동면 원중로 1339,www.kistep.re.kr,-,127.54972132433,36.904223723663
161.0,한국과학창의재단,기타공공기관,과학기술정보통신부,19671221.0,조율래,20210113-20240112,서울특별시,"서울특별시 강남구 테헤란로 7길22, 한국과학기술회관 2관 4~5층",www.kofac.re.kr,-,127.030768815378,37.500722082344
162.0,한국관광공사,준정부기관(위탁집행형),문화체육관광부,19620626.0, 공석,-,강원도,"강원도 원주시 세계로10, 한국관광공사",http://knto.or.kr,-,127.989937169177,37.3243024959506
163.0,한국광해광업공단,공기업(준시장형),산업통상자원부,20210910.0,황규연,20210910-20240909,강원도,강원도 원주시 혁신로 199 (본관)&cr;원주시 세계로 2    (별관),www.komir.or.kr,-,127.991716831249,37.3256602608297
164.0,한국교육개발원,기타공공기관,국무조정실,19720830.0,고영선,20240425-20270424,충청북도,충청북도 진천군 덕산읍 교학로7,www.kedi.re.kr,-,127.536837274483,36.8978136500263
165.0,한국교육과정평가원,기타공공기관,국무조정실,19980101.0,오승걸,20230803-20260802,충청북도,충청북도 진천군 덕산읍 교학로 8,www.kice.re.kr,-,127.534664797788,36.8971757445552
166.0,한국교육학술정보원,기타공공기관,교육부,19990422.0, 공석,-,대구광역시,대구광역시 대구광역시 동구 동내로 64(동내동) (우)41061,http://www.keris.or.kr,-,128.73571032577,35.8763025486212
167.0,한국교통안전공단,준정부기관(위탁집행형),국토교통부,19810701.0,권용복,20210202-20240201,경상북도,경상북도 김천시 혁신6로 17 (율곡동) 한국교통안전공단,www.kotsa.or.kr,-,128.183730375108,36.1245437588803
168.0,한국교통연구원,기타공공기관,국무조정실,19870825.0,오재학,20210201-20240131,세종특별자치시,세종특별자치시 시청대로 370 세종국책연구단지 과학인프라동(반곡동), https://www.koti.re.kr,-,127.304482409755,36.4959005735933
169.0,한국국방연구원,기타공공기관,국방부,19870302.0, 공석,-,서울특별시,서울특별시 동대문구 회기로 37,http://www.kida.re.kr,-,127.040069816483,37.5915710783776
170.0,한국국제교류재단,기타공공기관,외교부,19911230.0,김기환,20220916-20250915,제주특별자치도,"제주특별자치도 서귀포시 신중로 55(법환동, 서귀포시청 2청사)",www.kf.or.kr,-,126.510527414272,33.2555817572486
171.0,한국국제보건의료재단,기타공공기관,보건복지부,20060818.0,하일수,20240129-20270128,서울특별시,서울특별시 광진구 능동로 400 보건복지행정타운 6~7층,www.kofih.org,-,127.08445683899,37.5650580830652
172.0,한국국제협력단,준정부기관(위탁집행형),외교부,19910401.0,장 원 삼,20230710-20260709,경기도,경기도 성남시 수정구 대왕판교로 825,www.koica.go.kr,-,127.0986260822,37.4157092902734
173.0,한국국토정보공사,준정부기관(위탁집행형),국토교통부,19770701.0,어명소,20231113-20261112,전라북도,전라북도 전주시 덕진구 기지로120(중동),www.lx.or.kr,-,127.065321365341,35.837967501223
174.0,한국기상산업기술원,기타공공기관,기상청,20091230.0,안영인,20210927-20240926,대전광역시,대전광역시 동구 우암로273(가양동),https://www.kmiti.or.kr,-,127.445989387547,36.3457867345105
175.0,한국기술교육대학교,기타공공기관,고용노동부,19911102.0,유길상,20230601-20270531,충청남도,충청남도 천안시 동남구 병천면 충절로1600, www.koreatech.ac.kr,-,127.281200389603,36.765104950533
176.0,한국나노기술원,기타공공기관,과학기술정보통신부,20031223.0,서광석,20210809-20240808,경기도,경기도 수원시 영통구 광교로 109,https://www.kanc.re.kr,-,127.041847575792,37.293229934287
177.0,한국남동발전(주),공기업(시장형),산업통상자원부,20010402.0,김회천,20210426-20240425,경상남도,경상남도 진주시 사들로 123번길 32(충무공동),http://www.koenergy.kr,-,128.145569640752,35.1803497320974
178.0,한국남부발전(주),공기업(시장형),산업통상자원부,20010402.0,이승우,20210426-20240425,부산광역시,부산광역시 남구 문현금융로 40 부산국제금융센터,www.kospo.co.kr,-,129.065854840531,35.1464917263976
179.0,한국노동연구원,기타공공기관,국무조정실,19880825.0,허재준,20230210-20260209,세종특별자치시,세종특별자치시 시청대로 370 세종국책연구단지 경제정책동 5~7층,www.kli.re.kr,-,127.304482409755,36.4959005735933
180.0,한국노인인력개발원,기타공공기관,보건복지부,20051227.0,김미곤,20210712-20240711,경기도,경기도 고양시 일산동구 하늘마을로 106(중산동 1701),https://www.kordi.or.kr,-,126.784020067585,37.6804476504016
181.0,한국농수산식품유통공사,준정부기관(위탁집행형),농림축산식품부,19671201.0,김춘진,20210315-20240314,전라남도,전라남도 나주시 문화로 227(빛가람동),www.at.or.kr,-,126.78399830567,35.019359820888
182.0,한국농어촌공사,준정부기관(위탁집행형),농림축산식품부,20000101.0,이병호,20220304-20250303,전라남도,전라남도 나주시 그린로 20,www.ekr.or.kr,-,126.777107136951,35.0203513157276
183.0,한국농업기술진흥원,기타공공기관,농촌진흥청,20090907.0,안호근,20220301-20250228,전라북도,전라북도 익산시 평동로 457,https://www.koat.or.kr/,-,126.933329826372,35.938407243901
184.0,한국농촌경제연구원,기타공공기관,국무조정실,19780401.0,한두봉,20230412-20260411,전라남도,전라남도 나주시 빛가람로 601,www.krei.re.kr,-,126.777764606371,35.0225198846909
185.0,한국데이터산업진흥원,기타공공기관,과학기술정보통신부,19930204.0,윤혜정,20211111-20241110,서울특별시,"서울특별시 중구 세종대로9길 42, 7~8,11층(서소문동, 부영빌딩)",https://www.kdata.or.kr/,-,126.973833846114,37.5616563798295
186.0,한국도로공사,공기업(시장형),국토교통부,19690215.0,함진규,20230214-20260213,경상북도,경상북도 김천시 혁신8로 77(율곡동),https://www.ex.co.kr/,-,128.188725543136,36.1289584298751
187.0,한국도로공사서비스(주),기타공공기관,국토교통부,20190509.0,오병삼,20230829-20260828,경기도,"경기도 성남시 수정구 창업로57번길 11(시흥동), 2층",www.exservice.co.kr,-,127.096253961931,37.4106649079086
188.0,한국도박문제예방치유원,기타공공기관,문화체육관광부,20130828.0,신미경,20240502-20270501,서울특별시,"서울특별시 중구 퇴계로 173, 남산스퀘어 8층",https://www.kcgp.or.kr/,-,126.991058542501,37.5618257152508
189.0,한국동서발전(주),공기업(시장형),산업통상자원부,20010402.0,김영문,20210426-20240425,울산광역시,울산광역시 중구 종가로 395,https://www.ewp.co.kr,-,129.318968777069,35.5662723827825
190.0,한국등산·트레킹지원센터,기타공공기관,산림청,20080721.0,전범권,20210906-20240905,대전광역시,대전광역시  대덕구 신상로67(비래동), https://www.komount.or.kr,-,127.458873569155,36.3599165430272
191.0,한국디자인진흥원,기타공공기관,산업통상자원부,19700519.0,윤상흠,20210628-20240627,경기도,경기도 성남시 분당구 양현로 322(야탑동),www.kidp.or.kr,-,127.123286467551,37.4131967216789
192.0,한국로봇산업진흥원,기타공공기관,산업통상자원부,20100624.0,손웅희,20210401-20240331,대구광역시,대구광역시 북구 노원로 77(노원동3가),www.kiria.org,-,128.570365610528,35.8948917040586
193.0,한국마사회,공기업(준시장형),농림축산식품부,19490929.0,정기환,20220211-20250210,경기도,경기도 과천시 경마공원대로 107,www.kra.co.kr,-,127.0162939669,37.4412157413878
194.0,한국마약퇴치운동본부,기타공공기관,식품의약품안전처,19920422.0,서국진,20240429-20270428,서울특별시,서울특별시 영등포구 선유동2로 57 이레빌딩 신관 14층,drugfree.or.kr,-,126.896882129276,37.5338259242698
195.0,한국무역보험공사,준정부기관(기금관리형),산업통상자원부,19920707.0,장영진,20240318-20270317,서울특별시,서울특별시 종로구 종로 14 (서린동),https://www.ksure.or.kr,-,126.97886194878,37.5698126628053
196.0,한국문학번역원,기타공공기관,문화체육관광부,19960506.0,곽효환,20210514-20240513,서울특별시,서울특별시 강남구 영동대로 112길 32(삼성동) 한국문학번역원,https://www.ltikorea.or.kr/,-,127.062842412176,37.5152256423036
197.0,한국문화관광연구원,기타공공기관,문화체육관광부,20021204.0,김세원,20221028-20251027,서울특별시,서울특별시 강서구 금낭화로 154(방화동),http://www.kcti.re.kr,-,126.81383542564,37.579155054659
198.0,한국문화예술교육진흥원,기타공공기관,문화체육관광부,20050203.0,박은실,20220915-20250914,서울특별시,"서울특별시  마포구 상암산로 76(상암동, YTN 뉴스퀘어)", www.arte.or.kr,-,126.892314544858,37.5791943482019
199.0,한국문화예술위원회,기타공공기관,문화체육관광부,20050826.0,정병국,20230110-20260109,전라남도,전라남도 나주시 빛가람로 640,www.arko.or.kr,-,126.781834827085,35.0207786865687
200.0,한국문화정보원,기타공공기관,문화체육관광부,20021223.0, 공석,-,서울특별시,"서울특별시 마포구 월드컵북로 400, 6층",www.kcisa.kr,-,126.889839335259,37.5806561786855
201.0,한국문화진흥주식회사,기타공공기관,문화체육관광부,19840124.0,이상철,20230328-20260327,경기도,경기도 광주시 삼지곡길 95,https://newseoulgolf.co.kr/,-,127.20953176314,37.4252253615502
202.0,한국발명진흥회,기타공공기관,특허청,19941226.0,황철주,20221213-20251212,서울특별시,서울특별시 강남구 테헤란로 131 한국지식재산센터,www.kipa.org,-,127.032937953168,37.5000818732753
203.0,한국방송광고진흥공사,공기업(준시장형),방송통신위원회,20120523.0, 공석,-,서울특별시,서울특별시 중구 세종대로 124 (태평로 1가),www.kobaco.co.kr,-,126.977873671097,37.5674198878673
204.0,한국방송통신전파진흥원,준정부기관(위탁집행형),과학기술정보통신부,19720721.0,이상훈,20231101-20261031,전라남도,전라남도 나주 빛가람로 760(빛가람동),www.kca.kr,-,126.795465278847,35.0206146661672
205.0,한국법무보호복지공단,기타공공기관,법무부,19530305.0,황영기,20240311-20270310,경상북도,경상북도 김천시 혁신1로 86,https://koreha.or.kr/,-,128.180544084815,36.1160318795106
206.0,한국법제연구원,기타공공기관,국무조정실,19900730.0,한영수,20230323-20260322,세종특별자치시,세종특별자치시 국책연구원로 15,www.klri.re.kr,-,127.302109883779,36.4921956463431
207.0,한국벤처투자,기타공공기관,중소벤처기업부,20050629.0, 공석,-,서울특별시,"서울특별시 서초구 서초대로45길 16, 3층~5층",www.kvic.or.kr,-,127.009272708542,37.4939062773109
208.0,한국보건복지인재원,기타공공기관,보건복지부,20070404.0,배금주,20230508-20260507,충청북도,충청북도 충청북도 청주시 흥덕구 오송읍 오송생명2로 187,www.kohi.or.kr,-,127.335389756352,36.6425643742306
209.0,한국보건사회연구원,기타공공기관,국무조정실,19700720.0,이태수,20210503-20240502,세종특별자치시,세종특별자치시 시청대로 370 세종국책연구단지 사회정책동(1~5층),https://www.kihasa.re.kr/,-,127.304482409755,36.4959005735933
210.0,한국보건산업진흥원,기타공공기관,보건복지부,19990206.0,차 순 도,20221213-20251212,충청북도,충청북도  청주시 흥덕구 오송읍 오송생명2로 187 오송보건의료행정타운,https://www.khidi.or.kr,-,127.335389756352,36.6425643742306
211.0,한국보건의료연구원,기타공공기관,보건복지부,20081223.0,이재태,20230727-20260726,서울특별시,서울특별시 광진구 능동로 400,www.neca.re.kr,-,127.08445683899,37.5650580830652
212.0,한국보건의료인국가시험원,기타공공기관,보건복지부,19920420.0,배현주,20230201-20260131,서울특별시,서울특별시 광진구 자양로 45,http://www.kuksiwon.or.kr/,-,127.085377141915,37.5319951931224
213.0,한국보육진흥원,기타공공기관,보건복지부,20091223.0,나성웅,20211101-20241031,서울특별시,"서울특별시  용산구 청파로 345, 주연빌딩 3,4,5,6층 ",http://www.kcpi.or.kr,-,126.969354194667,37.5503048955613
214.0,한국보훈복지의료공단,준정부기관(위탁집행형),국가보훈부,19811102.0, 공석,-,강원도,강원도 원주시 혁신로 40,www.bohun.or.kr,-,127.977888519985,37.3235968402162
215.0,한국부동산원,공기업(준시장형),국토교통부,19690425.0,손태락,20210226-20240225,대구광역시,대구광역시 동구 이노밸리로 291,www.reb.or.kr,-,128.728988541529,35.8786286198099
216.0,한국사학진흥재단,기타공공기관,교육부,19891204.0,홍덕률,20210614-20240613,대구광역시,대구광역시 동구 혁신대로 345,www.kasfo.or.kr,-,128.734409455146,35.8763070156789
217.0,한국사회보장정보원,준정부기관(위탁집행형),보건복지부,20091207.0, 공석,-,서울특별시,"서울특별시 광진구 능동로 400(중곡동, 보건복지행정타운)",http://www.ssis.or.kr,-,127.08445683899,37.5650580830652
218.0,한국사회복지협의회,기타공공기관,보건복지부,19520215.0,김성이,20230101-20251231,서울특별시,서울특별시 마포구 만리재로 14(공덕동) 한국사회복지회관 5층,www.bokji.net,-,126.952835204955,37.5439937223014
219.0,한국사회적기업진흥원,기타공공기관,고용노동부,20101231.0,정현곤,20210826-20240825,경기도,경기도 성남시 수정구 수정로 157(새마을금고빌딩) 6~8층,www.socialenterprise.or.kr,-,127.137412527666,37.4428586467674
220.0,한국산림복지진흥원,준정부기관(위탁집행형),산림청,20160418.0,남태헌,20220926-20250925,대전광역시,"대전광역시 서구 둔산북로 121, 2층(둔산동 아너스빌)",https://www.fowi.or.kr,-,127.387871708301,36.3563094826699
221.0,한국산업기술기획평가원,준정부기관(위탁집행형),산업통상자원부,20090504.0,전윤종,20220907-20250906,대구광역시,대구광역시 동구 첨단로8길 32,www.keit.re.kr,-,128.733845621357,35.8781438042744
222.0,한국산업기술시험원,기타공공기관,산업통상자원부,19660413.0,김세종,20210401-20240331,경상남도,경상남도 진주시 충의로 10(충무공동),www.ktl.re.kr,-,128.146315910358,35.1757293883187
223.0,한국산업기술진흥원,준정부기관(위탁집행형),산업통상자원부,20090504.0,민병주,20220907-20250906,서울특별시,서울특별시 강남구 테헤란로 305,www.kiat.or.kr,-,127.043780751267,37.5033406241505
224.0,한국산업단지공단,준정부기관(위탁집행형),산업통상자원부,19970110.0,이상훈,20230601-20260531,대구광역시,대구광역시 동구 첨단로 39(신서동),www.kicox.or.kr,-,128.729549274787,35.879943572972
225.0,한국산업안전보건공단,준정부기관(위탁집행형),고용노동부,19871209.0,안종주,20220110-20250109,울산광역시,울산광역시 울산광역시 중구 종가로 400(성안동) 한국산업안전보건공단 &cr;(우)44429,https://kosha.or.kr,-,129.319845814157,35.5650061834461
226.0,한국산업은행,기타공공기관,금융위원회,19540401.0,강석훈,20220607-20250606,서울특별시,서울특별시 영등포구 은행로 14,http://www.kdb.co.kr,-,126.920832037248,37.5271223982536
227.0,한국산업인력공단,준정부기관(위탁집행형),고용노동부,19820318.0,이우영,20231113-20261112,울산광역시,울산광역시 중구 종가로 345(교동),www.hrdkorea.or.kr,-,129.314245707851,35.5660220468598
228.0,한국상하수도협회,기타공공기관,환경부,20020121.0,강기정,20220722-20250721,서울특별시,서울특별시 영등포구 대림로 244(대림동),www.kwwa.or.kr,-,126.896902352702,37.5025213146697
229.0,한국서부발전(주),공기업(시장형),산업통상자원부,20010402.0,박형덕,20210426-20240425,충청남도,충청남도 태안군 태안읍 중앙로 285, www.iwest.co.kr,-,126.317626237874,36.7517167489152
230.0,한국석유공사,공기업(시장형),산업통상자원부,19790303.0,김동섭,20210608-20240607,울산광역시,울산광역시 중구 종가로 305,www.knoc.co.kr,-,129.30911143208,35.5649648471875
231.0,한국석유관리원,준정부기관(위탁집행형),산업통상자원부,19831107.0,차동형,20210726-20240725,경기도,"경기도 성남시 분당구 안양판교로 1207(백현동, 한국석유관리원)",http://www.kpetro.or.kr,-,127.099506456194,37.3838048375233
232.0,한국세라믹기술원,기타공공기관,산업통상자원부,20090504.0,정연길,20210726-20240725,경상남도,경상남도 진주시 소호로 101,www.kicet.re.kr,-,128.13458415751,35.1770348877678
233.0,한국소방산업기술원,기타공공기관,소방청,19770601.0,김창진,20240213-20270212,경기도,경기도 용인시 기흥구 지삼로 331,www.kfi.or.kr,-,127.145444874736,37.2354340188646
234.0,한국소비자원,준정부기관(위탁집행형),공정거래위원회,19870701.0,윤수현,20231113-20261112,충청북도,충청북도 음성군 맹동면 용두로 54,https://www.kca.go.kr,-,127.548294583158,36.9069405103208
235.0,한국수력원자력(주),공기업(시장형),산업통상자원부,20010402.0,황주호,20220820-20250819,경상북도,경상북도 경주시 문무대왕면 불국로 1655,https://www.khnp.co.kr,-,129.389180219833,35.795102140085
236.0,한국수목원정원관리원,기타공공기관,산림청,20170517.0,류광수,20210419-20240418,세종특별자치시,"세종특별자치시 정부2청사로 10(나성동, 에스엠타워) 3층",www.koagi.or.kr,-,127.261844115214,36.482813152508
237.0,한국수산자원공단,기타공공기관,해양수산부,20101118.0,이춘우,20211129-20241128,부산광역시,부산광역시 기장군 일광읍 이동길 4,http://www.fira.or.kr,-,129.242964965848,35.2698658312891
238.0,한국수자원공사,공기업(준시장형),환경부,19671116.0,윤석대,20230619-20260618,대전광역시,대전광역시 대덕구 신탄진로 200,www.kwater.or.kr,-,127.423731874384,36.3979169814412
239.0,한국수자원조사기술원,기타공공기관,환경부,20171220.0,이영기,20231101-20261031,경기도,"경기도 고양시 일산서구 킨텍스로 217-59 킨텍스 제2전시장 오피스동 8~9층, 11~13층",www.kihs.re.kr,-,126.742064181796,37.664695446952
240.0,한국수출입은행,기타공공기관,기획재정부,19760701.0,윤희성,20220727-20250726,서울특별시,서울특별시 영등포구 은행로 38,www.koreaexim.go.kr,-,126.923399003703,37.5286372332436
241.0,한국승강기안전공단,준정부기관(위탁집행형),행정안전부,20160701.0,이용표,20210510-20240509,경상남도,경상남도 진주시 소호로102(충무공동),home.koelsa.or.kr,-,128.135801673056,35.1777941750455
242.0,한국식품산업클러스터진흥원,기타공공기관,농림축산식품부,20110225.0,김영재,20210305-20240304,전라북도,전라북도 익산시 왕궁면 국가식품로 100,https://www.foodpolis.kr,-,127.083244172351,35.9801803459832
243.0,한국식품안전관리인증원,기타공공기관,식품의약품안전처,20170213.0,한상배,20230522-20260521,충청북도,충청북도 청주시 흥덕구 오송읍 오송생명5로 156,https://www.haccp.or.kr,-,127.330644293485,36.6328496380828
244.0,한국양성평등교육진흥원,기타공공기관,여성가족부,20030305.0,◈ 기관장,20210723-20240729,서울특별시,서울특별시 은평구 진흥로 225(불광동),http://www.kigepe.or.kr,-,126.93584332658,37.610924170994
245.0,한국어촌어항공단,기타공공기관,해양수산부,19940330.0,박경철,20210503-20240502,서울특별시,서울특별시 금천구 가산디지털2로 53 한라시그마밸리 12층,www.fipa.or.kr,-,126.881145309987,37.4729556284612
246.0,한국언론진흥재단,기타공공기관,문화체육관광부,20100201.0,김효재,20231019-20261018,서울특별시,서울특별시 중구 세종대로124 한국프레스센터,www.kpf.or.kr,-,126.977873671097,37.5674198878673
247.0,한국에너지공단,준정부기관(위탁집행형),산업통상자원부,19800704.0,이상훈,20220128-20250127,울산광역시,울산광역시 울산광역시 중구 종가로 323(우정동),https://www.energy.or.kr,-,129.311905888733,35.5654491965269
248.0,한국에너지기술평가원,기타공공기관,산업통상자원부,20090504.0, 공석,-,서울특별시,서울특별시 강남구 테헤란로 114길 14,www.ketep.re.kr,-,127.06644500469,37.5087976190802
249.0,한국에너지정보문화재단,기타공공기관,산업통상자원부,19920325.0,최성광,20210824-20240823,서울특별시,서울특별시 금천구 남부순환로 1418, https://www.keia.or.kr,-,126.908313066946,37.4803754975008
250.0,한국여성과학기술인육성재단,기타공공기관,과학기술정보통신부,20130104.0,문애리,20221107-20251106,서울특별시,"서울특별시 강남구 테헤란로 7길 22, 한국과학기술회관 2관 6층",https://www.wiset.or.kr,-,127.030768815378,37.500722082344
251.0,한국여성인권진흥원,기타공공기관,여성가족부,20191219.0,신보라,20230330-20260329,서울특별시,"서울특별시 중구 서소문로 50(중림동, CENTRAL PLACE) 3층",https://www.stop.or.kr,-,126.967029172523,37.5609169395529
252.0,한국여성정책연구원,기타공공기관,국무조정실,19830421.0,김종숙,20240125-20270124,서울특별시,서울특별시 은평구 진흥로 225(불광동),www.kwdi.re.kr,-,126.93584332658,37.610924170994
253.0,한국연구재단,준정부기관(위탁집행형),과학기술정보통신부,20090626.0,이광복,20210927-20240926,대전광역시,대전광역시 유성구 가정로 201(가정동),www.nrf.re.kr,-,127.366083583729,36.3855271813455
254.0,한국영상자료원,기타공공기관,문화체육관광부,19740118.0,김홍준,20220224-20250223,서울특별시,서울특별시 마포구 월드컵북로 400(상암동) 한국영상자료원,www.koreafilm.or.kr,-,126.889839335259,37.5806561786855
255.0,한국예술인복지재단,기타공공기관,문화체육관광부,20121119.0,박영정,20210401-20240415,서울특별시,서울특별시 중구 한강대로 416 서울스퀘어 3층,http://www.kawf.kr,-,126.973751343837,37.555503632236
256.0,한국원산지정보원,기타공공기관,관세청,20230703.0,김일권,20231201-20261130,경기도,경기도 성남시 분당구 야탑로 205번길 8 (야탑동),www.origin.or.kr,-,127.142975447658,37.4090449105981
257.0,한국원자력안전기술원,기타공공기관,원자력안전위원회,19900214.0,김석철,20211203-20241202,대전광역시,대전광역시 유성구 과학로 62,http://www.kins.re.kr,-,127.368459260055,36.3748335227443
258.0,한국원자력안전재단,기타공공기관,원자력안전위원회,20121106.0,김제남,20220210-20250209,경기도,경기도 성남시 분당구 대왕판교로644번길 49(삼평동) 1관 8층,www.kofons.or.kr,-,127.112312371111,37.4001662034279
259.0,한국원자력의학원,기타공공기관,과학기술정보통신부,19631217.0,이진경,20230419-20260418,서울특별시,서울특별시 노원구 노원로 75,www.kirams.re.kr,-,127.083017711933,37.6286068147245
260.0,한국원자력통제기술원,기타공공기관,원자력안전위원회,20060630.0,이나영,20230911-20260910,대전광역시,대전광역시 유성구 유성대로 1418,www.kinac.re.kr,-,127.370973623277,36.4059125654104
