No,기관명,기관유형,주무부처,설립일,기관장,기관장 임기,소재지,주소,홈페이지,상위기관,x,y
24.0,경북대학교치과병원,기타공공기관,교육부,20160601.0,권대근,20220125-20250124,대구광역시,대구광역시 중구 달구벌대로 2175,www.knudh.kr,-,128.60139451422,35.8638985133262
25.0,경상국립대학교병원,기타공공기관,교육부,19870221.0,안 성 기,20230420-20260419,경상남도,경상남도 진주시 강남로 79,http://www.gnuh.co.kr/,-,128.096492410171,35.1759944007332
26.0,경제인문사회연구회,기타공공기관,국무조정실,19990315.0,신동천,20240304-20270303,세종특별자치시,"세종특별자치시 시청대로 370(반곡동, 세종국책연구단지) 연구지원동(A) 3,4,8,9층",www.nrc.re.kr,-,127.304482409755,36.4959005735933
27.0,공간정보품질관리원,기타공공기관,국토교통부,20191127.0,남일석,20211005-20241004,서울특별시,"서울특별시 영등포구 양산로 91, 1209호, 1404호(당산동 3가, 리드원센터)",www.siqms.or.kr ,-,126.893131097724,37.5250008864644
28.0,공무원연금공단,준정부기관(기금관리형),인사혁신처,19820201.0,김동극,20230818-20260817,제주특별자치도,제주특별자치도 서귀포시 서호중앙로 63,https://www.geps.or.kr,-,126.518614379686,33.2536692363329
29.0,과학기술사업화진흥원,기타공공기관,과학기술정보통신부,20121231.0,김봉수,20220117-20250116,서울특별시,"서울특별시 강서구 양천로 570(NH서울타워) 17층, 20층",https://www.compa.re.kr,-,126.862011051085,37.5567302905501
30.0,과학기술정책연구원,기타공공기관,국무조정실,19870105.0, 공석,-,세종특별자치시,"세종특별자치시 시청대로 370 세종국책연구단지 과학·인프라동(B동) 5, 6, 7층, 연구지원동(A동) 3층",www.stepi.re.kr,-,127.304482409755,36.4959005735933
31.0,국가생명윤리정책원,기타공공기관,보건복지부,20111227.0,홍창권,20240408-20270407,서울특별시,"서울특별시 서울특별시 광진구 능동로 400, 별관 2층 국가생명윤리정책원(중곡동, 보건복지행정타운)",https://www.nibp.kr,-,127.08445683899,37.5650580830652
32.0,국가유산진흥원,기타공공기관,국가유산청,19800401.0,최영창,20210510-20240509,서울특별시,서울특별시 강남구 봉은사로 406(삼성동),www.kh.or.kr,-,127.044624837573,37.5100930706802
33.0,국가철도공단,준정부기관(위탁집행형),국토교통부,20040101.0,이성해,20240219-20270218,대전광역시,대전광역시 대전광역시 동구 중앙로 242,https://www.kr.or.kr,-,127.436493879664,36.3310054889762
34.0,국가평생교육진흥원,기타공공기관,교육부,20080215.0, 공석,-,서울특별시,서울특별시 중구 청계천로 14(무교동 77번지),www.nile.or.kr,-,126.978817526558,37.5687892140435
35.0,국립공원공단,준정부기관(위탁집행형),환경부,19870701.0,송형근,20210125-20240124,강원도,강원도 원주시 혁신로 22(반곡동),www.knps.or.kr,-,127.976704931245,37.3238242077259
36.0,국립광주과학관,기타공공기관,과학기술정보통신부,20130723.0,이정구,20231222-20261221,광주광역시,광주광역시 북구 첨단과기로 235(오룡동 1-6번지),www.sciencecenter.or.kr,-,126.849870484009,35.2299078085943
37.0,국립낙동강생물자원관,기타공공기관,환경부,20150603.0,유호,20211227-20241226,경상북도,경상북도 상주시 도남2길 137 국립낙동강생물자원관,https://www.nnibr.re.kr,-,128.255415511716,36.4455919580711
38.0,국립대구과학관,기타공공기관,과학기술정보통신부,20130624.0, 공석,-,대구광역시,대구광역시 달성군 유가면 테크노대로 6길 20,www.dnsm.or.kr,-,128.465761685912,35.6866551363345
39.0,국립박물관문화재단,기타공공기관,문화체육관광부,20040720.0,김용삼,20210219-20240218,서울특별시,서울특별시 용산구 서빙고로 137,www.nmf.or.kr,-,126.977740246542,37.5247022357875
40.0,국립부산과학관,기타공공기관,과학기술정보통신부,20150713.0, 공석,-,부산광역시,부산광역시 기장군 기장읍 동부산관광6로59,http://www.sciport.or.kr,-,129.212599859203,35.2044215776897
41.0,국립생태원,준정부기관(위탁집행형),환경부,20131028.0,조도순,20210923-20240922,충청남도,충청남도 서천군 마서면 금강로 1210 국립생태원,http://www.nie.re.kr,-,126.720112456855,36.0369713217657
42.0,국립암센터,기타공공기관,보건복지부,20000322.0,서홍관,20210101-20231231,경기도,경기도 고양시 일산동구 일산로 323,www.ncc.re.kr.,-,126.783397658661,37.6632271940872
43.0,국립중앙의료원,기타공공기관,보건복지부,20100402.0,주영수,20220123-20250122,서울특별시,서울특별시 서울특별시 중구 을지로 245,www.nmc.or.kr,-,127.005484601979,37.5677264605676
44.0,국립항공박물관,기타공공기관,국토교통부,20191223.0,안태현,20220119-20250118,서울특별시,서울특별시 강서구 하늘길 177(공항동),www.aviation.or.kr,-,126.80887234623,37.5568697658909
45.0,국립해양과학관,기타공공기관,해양수산부,20200520.0,김외철,20231120-20261119,경상북도,경상북도 울진군 죽변면 해양과학길 8, www.kosm.or.kr,-,129.409901418533,37.0726927011071
46.0,국립해양박물관,기타공공기관,해양수산부,20120709.0,김종해,20240304-20270303,부산광역시,부산광역시 영도구 해양로 301번길 45,www.mmk.or.kr,-,129.080244864532,35.0785634152872
47.0,국립해양생물자원관,기타공공기관,해양수산부,20150420.0,최완현,20211115-20241114,충청남도,충청남도 서천군 장항읍 장산로 101번길 75,www.mabik.re.kr,-,126.669820609361,36.0172449848086
48.0,국립호남권생물자원관,기타공공기관,환경부,20200821.0,류태철,20200824-20230823,전라남도,전라남도 목포시 고하도안길 99,http://hnibr.re.kr,-,126.366367592686,34.7669792335442
49.0,국민건강보험공단,준정부기관(위탁집행형),보건복지부,20000701.0,정기석,20230710-20260709,강원도,"강원도 원주시 건강로 32(반곡동, 국민건강보험공단)",www.nhis.or.kr,-,127.986303020393,37.3246775683959
50.0,국민연금공단,준정부기관(기금관리형),보건복지부,19870918.0,김태현,20220901-20250831,전라북도,전라북도 전주시 덕진구 기지로 180(만성동),www.nps.or.kr,-,127.072179366121,35.8372979990082
51.0,국방과학연구소,기타공공기관,방위사업청,19700806.0,이건완,20240429-20270428,대전광역시,대전광역시 대전광역시 유성구 유성우체국 사서함 35호,www.add.re.kr,-,127.343653868081,36.3556596421486
52.0,국방기술품질원,기타공공기관,방위사업청,20060206.0,허건영,20210407-20240406,경상남도,경상남도 52851 경상남도 진주시 동진로 420(충무공동) 국방기술품질원,www.dtaq.re.kr,-,127.147133,37.365418
53.0,국방전직교육원,기타공공기관,국방부,20150101.0,김성호,20210701-20240630,경기도,경기도 성남시 수정구 위례대로 83(창곡동),www.moti.or.kr,-,127.143108,37.468006
54.0,국제방송교류재단,기타공공기관,문화체육관광부,19960410.0, 공석,-,서울특별시,서울특별시 서울 서초구 남부순환로 2351,https://www.arirang.com,-,127.008047253555,37.479126769477
55.0,국제식물검역인증원,기타공공기관,농림축산식품부,20120222.0,최병국,20220224-20250223,부산광역시,부산광역시 남구 문현금융로 40 부산국제금융센터 903호, www.ipab.or.kr,-,129.065854840531,35.1464917263976
56.0,국토교통과학기술진흥원,기타공공기관,국토교통부,20021230.0,박승기,20211210-20241209,경기도,"경기도 안양시 동안구 시민대로 286 송백빌딩 2~7층, 9층",www.kaia.re.kr,-,126.962263976722,37.3945828565513
57.0,국토안전관리원,준정부기관(위탁집행형),국토교통부,20201210.0,김일환,20220224-20250223,경상남도,경상남도 진주시 에나로128번길 24 윤현빌딩,http://www.kalis.or.kr,-,128.144055143424,35.1757740181755
58.0,국토연구원,기타공공기관,국무조정실,19781004.0,심교언,20230824-20260823,세종특별자치시,세종특별자치시 국책연구원로 5(반곡동),http://www.krihs.re.kr,-,127.300535492668,36.4916000833274
59.0,그랜드코리아레저(주),공기업(준시장형),문화체육관광부,20050906.0,김영산,20210901-20240831,서울특별시,서울특별시 강남구 삼성로 610,www.grandkorea.com,-,127.053154771177,37.5141075683146
60.0,근로복지공단,준정부기관(기금관리형),고용노동부,19950501.0,박종길,20230530-20260529,울산광역시,울산광역시 중구 종가로 340(교동),www.comwel.or.kr,-,129.314264667457,35.5639402354994
61.0,기술보증기금,준정부기관(기금관리형),중소벤처기업부,19890401.0,김종호,20211108-20241107,부산광역시,부산광역시 남구 문현금융로 33,www.kibo.or.kr,-,129.064096646802,35.1462045821995
62.0,기초과학연구원,기타공공기관,과학기술정보통신부,20111121.0,노도영,20191122-20241121,대전광역시,대전광역시 대전광역시 유성구 엑스포로 55,http://www.ibs.re.kr,-,127.384467883076,36.3802324552677
63.0,노사발전재단,기타공공기관,고용노동부,20070405.0,김대환,20230317-20260316,서울특별시,"서울특별시 마포구 마포대로 130(공덕동) 6,8,10층",https://www.nosa.or.kr,-,126.952989325371,37.5459729185296
64.0,농림수산식품교육문화정보원,기타공공기관,농림축산식품부,20120523.0,이종순,20211206-20241205,세종특별자치시,세종특별자치시 국책연구원5로 19,www.epis.or.kr,-,127.305638076108,36.4929843637474
65.0,농림식품기술기획평가원,기타공공기관,농림축산식품부,20091002.0,노수현,20220311-20250310,전라남도,전라남도 나주시 교육길 45,http://www.ipet.re.kr,-,126.782765524951,35.0207354673936
66.0,농업정책보험금융원,기타공공기관,농림축산식품부,20040519.0,서해동,20230710-20260709,서울특별시,"서울특별시 영등포구 여의공원로 101, 2층 201호(여의도동, C.C.M.M.빌딩)",www.apfs.kr,-,126.924892738645,37.5292719570904
67.0,대구경북첨단의료산업진흥재단,기타공공기관,보건복지부,20101214.0,양진영,20210817-20240816,대구광역시,대구광역시 동구 동내로88,https://www.kmedihub.re.kr,-,128.736127636075,35.8786413247675
68.0,대외경제정책연구원,기타공공기관,국무조정실,19891229.0,이시욱,20230720-20260719,세종특별자치시,세종특별자치시  시청대로 370 세종국책연구단지 경제정책동,https://www.kiep.go.kr/,-,127.304482409755,36.4959005735933
69.0,대한무역투자진흥공사,준정부기관(위탁집행형),산업통상자원부,19620621.0,유정열,20210520-20240519,서울특별시,서울특별시 서초구 헌릉로 13 (염곡동),http://www.kotra.or.kr,-,127.044751260473,37.4651225448311
70.0,대한법률구조공단,기타공공기관,법무부,19870901.0, 이종엽,20230906-20260905,경상북도,경상북도 김천시 혁신2로 26,https://www.klac.or.kr,-,128.182937293383,36.1162007568943
71.0,대한석탄공사,공기업(준시장형),산업통상자원부,19501101.0,원경환,20211109-20241108,강원도,강원도 원주시 배울로 85(반곡동),www.kocoal.or.kr,-,127.977515588192,37.324976917028
72.0,대한장애인체육회,기타공공기관,문화체육관광부,20051125.0,정진완,20210225-20250226,서울특별시,서울특별시 송파구 올림픽로 424 올림픽회관 신관,http://www.koreanpc.kr,-,127.115517876627,37.5203396980951
73.0,대한적십자사,기타공공기관,보건복지부,19051027.0,김철수,20230816-20260815,강원도,강원도 원주시 혁신로 50,https://www.redcross.or.kr,-,127.978566980735,37.3230281971325
74.0,대한체육회,기타공공기관,문화체육관광부,19200713.0,이기흥,20210219-20210219,서울특별시,서울특별시 송파구 올림픽로 424 올림픽회관 ,www.sports.or.kr,-,127.115517876627,37.5203396980951
75.0,도로교통공단,준정부기관(위탁집행형),경찰청,19540212.0, 공석,-,강원도,강원도 원주시 혁신로 2(반곡동),www.koroad.or.kr,-,127.97535913134,37.3244992551977
76.0,독립기념관,기타공공기관,국가보훈부,19860820.0,한시준,20210122-20240121,충청남도,충청남도 천안시 동남구 목천읍 독립기념관로1,www.i815.or.kr,-,127.230398111736,36.7818719998049
77.0,동북아역사재단,기타공공기관,교육부,20060922.0,박지향,20231229-20261228,서울특별시,서울특별시 서대문구 통일로 81 NH농협생명빌딩,www.nahf.or.kr,-,126.968600545721,37.5623619358613
78.0,민주화운동기념사업회,기타공공기관,행정안전부,20011112.0,이재오,20230727-20260704,경기도,경기도 의왕시 내손순환로 132,https://www.kdemo.or.kr/,-,126.985703571987,37.386438982688
79.0,부산대학교병원,기타공공기관,교육부,19561101.0,정성운,20230120-20260119,부산광역시,부산광역시 서구 구덕로 179,http://www.pnuh.or.kr,-,129.019244318359,35.1011288801696
80.0,부산대학교치과병원,기타공공기관,교육부,20110901.0,김현철,20231023-20261022,경상남도,경상남도 양산시 물금읍 금오로 20,www.pnudh.co.kr,-,129.00646584936,35.3287866322669
81.0,부산항만공사,기타공공기관,해양수산부,20040116.0,강준석,20210930-20240929,부산광역시,부산광역시 중구 대교로 122(중앙동 6가),http://www.busanpa.com,-,129.038596314194,35.100957110055
82.0,북한이탈주민지원재단,기타공공기관,통일부,20100927.0,조민호,20230328-20260327,서울특별시,"서울특별시  마포구 새창로7 (서울대총동창회장학빌딩) 4층, 5층, 14층", www.koreahana.or.kr,-,126.950923973719,37.5424795347233
83.0,사립학교교직원연금공단,기타공공기관,교육부,19740111.0,송하중,20230701-20260630,전라남도,전라남도 나주시 문화로 245,www.tp.or.kr,-,126.784232394072,35.0207590862388
84.0,산업연구원,기타공공기관,국무조정실,19760107.0,주현,20210614-20240613,세종특별자치시,세종특별자치시 시청대로 370(반곡동) 세종국책연구단지 경제정책동 8~12F,https://www.kiet.re.kr/,-,127.304482409755,36.4959005735933
85.0,새만금개발공사,기타공공기관,국토교통부,20180921.0,나경균,20240318-20270317,전라북도,전라북도 군산시 새만금북로 466,sdco.or.kr,-,126.584957333729,35.9470077426119
86.0,서민금융진흥원,기타공공기관,금융위원회,20160923.0,이재연,20220103-20250102,서울특별시,서울특별시 중구 세종대로 14 그랜드센트럴,www.kinfa.or.kr,-,126.9744151,37.5578385325826
87.0,서울대학교병원,기타공공기관,교육부,19780715.0,김영태,20230306-20260305,서울특별시,서울특별시 종로구 대학로 101,http://snuh.org,-,126.997196437908,37.5804523853297
88.0,서울대학교치과병원,기타공공기관,교육부,20040901.0,이용무,20230424-20260423,서울특별시,서울특별시 종로구 대학로 101(연건동),http://www.snudh.org,-,126.997196437908,37.5804523853297
89.0,서울올림픽기념국민체육진흥공단,준정부기관(기금관리형),문화체육관광부,19890420.0,조현재,20210222-20240221,서울특별시,"서울특별시 송파구 올림픽로 424(방이동, 올림픽회관)",www.kspo.or.kr,-,127.115517876627,37.5203396980951
90.0,세종학당재단,기타공공기관,문화체육관광부,20121024.0,이해영,20210928-20240927,서울특별시,서울특별시 서포구 반포대로 22 서초평화빌딩,http://www.ksif.or.kr,-,127.012703271873,37.4828043695941
91.0,소상공인시장진흥공단,준정부기관(기금관리형),중소벤처기업부,20140101.0,박성효,20220715-20250714,대전광역시,"대전광역시 중구 보문로 246 대림빌딩 2, 3, 5, 11, 16층",www.semas.or.kr,-,127.422864348453,36.324609359881
92.0,수도권매립지관리공사,기타공공기관,환경부,20000722.0,송병억,20230801-20260731,인천광역시,인천광역시  서구 자원순환로 170(백석동),http://www.slc.or.kr,-,126.648113116043,37.5730905963004
93.0,시청자미디어재단,기타공공기관,방송통신위원회,20150515.0,조한규,20210217-20240216,서울특별시,서울특별시 영등포구 국회대로 74길 4,www.kcmf.or.kr,-,126.920600446264,37.5305499227553
94.0,식품안전정보원,기타공공기관,식품의약품안전처,20090625.0,이재용,20240401-20270331,서울특별시,"서울특별시 중구 소공로 70, 포스트타워 A동 12, 13층", http://www.foodinfo.or.kr/,-,126.982169090151,37.5615987374058
95.0,신용보증기금,준정부기관(기금관리형),금융위원회,19760601.0,최원목,20220829-20250828,대구광역시,대구광역시 동구 첨단로 7(신서동),http://www.kodit.co.kr,-,128.72871955143,35.8772868459725
96.0,신용보증재단중앙회,기타공공기관,중소벤처기업부,20000807.0,이상훈,20210823-20240822,대전광역시,"대전광역시 서구 한밭대로 713, 나라키움대전센터 12~15층",http://www.koreg.or.kr,-,127.378572517693,36.3586859637894
97.0,아동권리보장원,기타공공기관,보건복지부,20190716.0,정익중,20230417-20260416,서울특별시,"서울특별시 종로구 삼봉로 71, 지하1층, 5층 일부, 6층, 7층(수송동, 지타워)",www.ncrc.or.kr,-,126.981114262989,37.5726674875411
98.0,에너지경제연구원,기타공공기관,국무조정실,19860901.0,김현제,20230622-20260621,울산광역시,울산광역시 중구 종가로 405-11(성안동), www.keei.re.kr,-,129.319513927601,35.5678380206145
99.0,여수광양항만공사,기타공공기관,해양수산부,20110819.0,박성현,20211220-20241219,전라남도,전라남도 광양시 항만대로 465(여수광양항만공사),www.ygpa.or.kr,-,127.65882804796,34.9065025967045
100.0,연구개발특구진흥재단,기타공공기관,과학기술정보통신부,20050901.0,강병삼,20210305-20240304,대전광역시,"대전광역시 유성구 엑스포로 123번길 27-5, 연구개발특구진흥재단",https://www.innopolis.or.kr,-,127.393066762831,36.375211986604
