system:index,name,.geo
0,plot5,"{""type"":""Polygon"",""coordinates"":[[[126.90741308619606,36.017781639429835],[126.90811314274896,36.01710693345927],[126.90825798203575,36.01719588216537],[126.90757133652794,36.01787926521733],[126.90741308619606,36.017781639429835]]]}"
1,plot6,"{""type"":""Polygon"",""coordinates"":[[[126.90759011199106,36.0178836041384],[126.90826871087182,36.017206729561686],[126.9084108679496,36.01729784763179],[126.90771349360574,36.01797038250985],[126.90759011199106,36.0178836041384]]]}"
2,plot7,"{""type"":""Polygon"",""coordinates"":[[[126.90775909115898,36.017994246545264],[126.90844573666679,36.017341237151946],[126.90859325816263,36.01743886348496],[126.90789320160972,36.01809404152407],[126.90775909115898,36.017994246545264]]]}"
3,plot8,"{""type"":""Polygon"",""coordinates"":[[[126.90791197707284,36.01810054988787],[126.90859862258066,36.01744971084783],[126.90874077965843,36.01753648969706],[126.90805681635963,36.01818949747253],[126.90791197707284,36.01810054988787]]]}"
4,plot1,"{""type"":""Polygon"",""coordinates"":[[[126.9081885680985,36.01700768595322],[126.9088376626801,36.01634599037471],[126.9089878663849,36.01645012644065],[126.90832804296726,36.017103143217525],[126.9081885680985,36.01700768595322]]]}"
5,plot2,"{""type"":""Polygon"",""coordinates"":[[[126.90833877180332,36.017105312699435],[126.90899591301198,36.01645880443992],[126.90913538788074,36.016554262369006],[126.90847020004506,36.01721161724113],[126.90833877180332,36.017105312699435]]]}"
6,plot3,"{""type"":""Polygon"",""coordinates"":[[[126.90851579759831,36.017244159419086],[126.90918903206102,36.016578126833224],[126.90934728239291,36.01669094056619],[126.90866600130312,36.01734829429827],[126.90851579759831,36.017244159419086]]]}"
7,plot4,"{""type"":""Polygon"",""coordinates"":[[[126.90867941234822,36.01735914167362],[126.90935264681093,36.016697449045864],[126.90949480388873,36.01679724566679],[126.90882693384401,36.01744809009507],[126.90867941234822,36.01735914167362]]]}"
8,seedX,"{""type"":""Polygon"",""coordinates"":[[[126.907417247847,36.01778150700123],[126.90811998660891,36.01709595361944],[126.90875298793644,36.017536357268014],[126.90806097801057,36.0181937039486],[126.907417247847,36.01778150700123]]]}"
9,seedO,"{""type"":""Polygon"",""coordinates"":[[[126.90817959018874,36.01700194008548],[126.90884209581543,36.016342413961624],[126.90949923702406,36.01679583876466],[126.90883136697934,36.01745102214945],[126.90817959018874,36.01700194008548]]]}"
10,below_waterX,"{""type"":""Polygon"",""coordinates"":[[[126.90818227239775,36.017008448539464],[126.90884209581543,36.016346752967316],[126.90916396089722,36.01655285546255],[126.90848536201644,36.017221057740706],[126.90818227239775,36.017008448539464]]]}"
11,below_waterO,"{""type"":""Polygon"",""coordinates"":[[[126.90851486631561,36.01724275252492],[126.90919346519635,36.0165745504307],[126.90950191923308,36.01678499131178],[126.90882868477034,36.017444513732016],[126.90851486631561,36.01724275252492]]]}"
12,above_waterX,"{""type"":""Polygon"",""coordinates"":[[[126.90741391578807,36.01778229155662],[126.908124701177,36.01709239921727],[126.90842510858668,36.01730066923912],[126.90772236982477,36.017986220840136],[126.90741391578807,36.01778229155662]]]}"
13,above_waterO,"{""type"":""Polygon"",""coordinates"":[[[126.90774650970592,36.017999237584995],[126.90845997730385,36.01732887242893],[126.90876038471353,36.01753497235582],[126.90805228153359,36.018198827403616],[126.90774650970592,36.017999237584995]]]}"
