"맥류별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"겉보리","산이면","면적[ha]","ha","","","","","","8.8","14.6","15.8","20.2","17.9",
"겉보리","산이면","생산량[M/T]","M/T","","","","","","39.6","52.7","57","72.9","64.6",
"겉보리","문내면","면적[ha]","ha","","","","","","15","-","-","12.5","12",
"겉보리","문내면","생산량[M/T]","M/T","","","","","","67.5","-","-","45.1","43.3",
"겉보리","화원면","면적[ha]","ha","","","","","","-","","-","-",".6",
"겉보리","화원면","생산량[M/T]","M/T","","","","","","-","","-","-","2.2",
"쌀보리","합계","면적[ha]","ha","449","779","726.5","785.3","702","613.8","1130.1","1507","1469.4","932",
"쌀보리","합계","생산량[M/T]","M/T","1854.2","1830.7","2789.8","2748.6","2183","2074.7","3243.4","6630.9","6112.7","3867.7",
"쌀보리","해남읍","면적[ha]","ha","74.2","99.6","66.5","90","148","143.5","113.2","192.4","173.2","93.6",
"쌀보리","해남읍","생산량[M/T]","M/T","311.6","234.1","255.4","315","460","485","324.9","846.6","720.5","388.4",
"쌀보리","삼산면","면적[ha]","ha","14.1","110.2","100.7","110","60","60.2","72.9","101","97.3","67.4",
"쌀보리","삼산면","생산량[M/T]","M/T","59.2","259","386.7","385","187","203.5","209.2","444.4","404.8","279.7",
"쌀보리","화산면","면적[ha]","ha","2","17.5","14.7","13.3","17","11.5","36","62","47.6","55.7",
"쌀보리","화산면","생산량[M/T]","M/T","8.4","41.1","56.4","46.6","53","38.9","103.3","272.8","198","231.2",
"쌀보리","현산면","면적[ha]","ha","113.3","57.2","57","63","51","32","49","89.5","54.5","87.8",
"쌀보리","현산면","생산량[M/T]","M/T","464.5","134.4","218.9","220.5","159","108.2","140.6","393.8","226.7","364.1",
"쌀보리","송지면","면적[ha]","ha","17","34.7","33.8","10","7","15","28.1","60.4","35.8","94",
"쌀보리","송지면","생산량[M/T]","M/T","69.7","81.5","129.8","35","22","50.7","80.6","265.8","148.9","390.1",
"쌀보리","북평면","면적[ha]","ha","4","6","6","11","4","7.6","3.2","5.1","3","2.7",
"쌀보리","북평면","생산량[M/T]","M/T","16.8","14.1","23","38.5","12","25.5","9.2","22.4","12.5","11.2",
