"행정구역(읍면)별","두류별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"변산면","합계","생산량[M/T]","M/T","72.8","69.2","75.8","58.1","71.1","71.2","72","60.3","68.7","6.4","5.7","5.7","3",
"변산면","콩","면적[㏊]","㏊","28","27","29","32","32","32.1","32.4","29","32","1.4","1.7","1.7","1",
"변산면","콩","생산량[M/T]","M/T","57.2","55","60.3","52","65","65.1","65.7","52.9","61","6.4","5.7","5.7","3",
"변산면","콩","단위생산량[kg/10a]","kg/10a","204.3","203.7","207.9","162.5","203.1","202.7","202.7","182.4","190.6","457.1","336.3","335.3","300",
"변산면","팥","면적[㏊]","㏊","1","1","1.2","1.5","1.5","1.5","1.5","1.8","1.9","-","-","-","-",
"변산면","팥","생산량[M/T]","M/T","1.3","1","1.4","1.4","1.4","1.4","1.4","2.8","2.5","-","-","-","-",
"변산면","팥","단위생산량[kg/10a]","kg/10a","125","100","116.7","93.3","93.3","93.5","93.5","155.6","131.6","-","-","-","-",
"변산면","녹두","면적[㏊]","㏊",".6",".6","1.7","1.5","1.5","1.5","1.5","1.6","1.5","-","-","-","-",
"변산면","녹두","생산량[M/T]","M/T",".4",".8","1.7","1.7","1.7","1.7","1.8","2","3","-","-","-","-",
"변산면","녹두","단위생산량[kg/10a]","kg/10a","71.7","133.3","100","113.3","113.3","112.9","116.8","125","200","-","-","-","-",
"변산면","기타","면적[㏊]","㏊","1.3","1.2","1","1","1","1","1","1.5","1.5","-","-","-","-",
"변산면","기타","생산량[M/T]","M/T","13.9","12.4","12.4","3","3","3","3","2.6","2.2","-","-","-","-",
"변산면","기타","단위생산량[kg/10a]","kg/10a","1069.2","1033.3","1240","300","300","296.2","296.2","173.3","146.7","-","-","-","-",
"진서면","합계","면적[㏊]","㏊","15.2","12.4","15","18","18","18.1","18.3","11","15","1.5","1","3","4",
"진서면","합계","생산량[M/T]","M/T","36.2","24.4","28","25.4","25.4","25.5","25.7","20.1","27.3","3","3.5","6.3","9.5",
"진서면","콩","면적[㏊]","㏊","12","11","12","15","15","15","15.2","11","15","1.5","1","1","2",
"진서면","콩","생산량[M/T]","M/T","24.8","23","24.6","22","22","22","22.2","20.1","27.3","3","3.5","3.5","7",
"진서면","콩","단위생산량[kg/10a]","kg/10a","206.7","209.1","205","146.7","146.7","146.4","146.4","182.7","182","197.4","348.9","350","350",
"진서면","팥","면적[㏊]","㏊","2","1","2","2","2","2","2.1","-","-","-","-","2","2",
"진서면","팥","생산량[M/T]","M/T","2.5","1","2.4","2.4","2.4","2.4","2.5","-","-","-","-","2.8","2.5",
"진서면","팥","단위생산량[kg/10a]","kg/10a","124","100","120","120","120","120.2","120.2","-","-","-","-","140","127.6",
"진서면","녹두","면적[㏊]","㏊",".4",".4","1","1","1","1","1","-","-","-","-","-","-",
"진서면","녹두","생산량[M/T]","M/T",".3",".4","1","1","1","1","1","-","-","-","-","-","-",
"진서면","녹두","단위생산량[kg/10a]","kg/10a","72.5","100","100","100","100","99.6","99.6","-","-","-","-","-","-",
"진서면","기타","면적[㏊]","㏊",".8","-","","-","-","-","-","-","-","-","-","-","-",
"진서면","기타","생산량[M/T]","M/T","8.6","-","","-","-","-","-","-","-","-","-","-","-",
"진서면","기타","단위생산량[kg/10a]","kg/10a","1075","-","","","-","-","-","-","-","-","-","-","-",
"백산면","합계","면적[㏊]","㏊","66","65","68","70","50","50.2","50.7","25.2","46.9","50.5","171.5","175.7","169",
"백산면","합계","생산량[M/T]","M/T","134.6","127.2","131.8","113.3","113.3","113.4","114.8","45.9","84.7","93.1","547","560.6","506.3",
"백산면","콩","면적[㏊]","㏊","65","64","67","69","49","49.1","49.6","25","45.4","49","170","174.2","168",
"백산면","콩","생산량[M/T]","M/T","133.4","126","130.5","112","112","112.1","113.5","45.6","82.4","90.8","545","558.6","505",
"백산면","콩","단위생산량[kg/10a]","kg/10a","205.2","196.9","194.8","162.3","228.6","228.1","228.7","182.4","181.5","185.3","320.6","320.7","300.6",
"백산면","팥","면적[㏊]","㏊","1","1","1","1","1","1","1",".1","1","1","1","1","1",
"백산면","팥","생산량[M/T]","M/T","1.2","1.2","1.3","1.3","1.3","1.3","1.3",".2","1.3","1.3","1.4","1.4","1.3",
"백산면","팥","단위생산량[kg/10a]","kg/10a","123","120","125","130","130","130.3","130.3","200","130","130","139","140","127",
