"두류별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"콩","옥천면","생산량[M/T]","M/T","40.1","71.7","24.5","27.2","5.2","24.6","17","22.5","24.6","23.9",
"콩","계곡면","면적[ha]","ha","75.3","47","75.3","35.8","28.8","37.3","37.3","37.8","40.4","39.4",
"콩","계곡면","생산량[M/T]","M/T","113","79","103.2","51.2","28.8","69.4","41","55.9","61","59.5",
"콩","마산면","면적[ha]","ha","5.5","36.3","30.2","47.5","29.7","55","84","85","90.9","88.6",
"콩","마산면","생산량[M/T]","M/T","8.8","61","41.4","67.9","29.7","102.3","62","125.9","137.5","134.1",
"콩","황산면","면적[ha]","ha","15","55","9.6","38","24.2","14","12.7","12.9","13.8","13.4",
"콩","황산면","생산량[M/T]","M/T","24","92.4","13.2","54.3","24.2","26","15","19.1","20.9","20.3",
"콩","산이면","면적[ha]","ha","43.8","34.4","22.3","51.4","25.2","21","33","33.5","35.8","34.9",
"콩","산이면","생산량[M/T]","M/T","70.1","57.8","30.6","73.5","25.2","39.1","39","49.6","54.2","52.8",
"콩","문내면","면적[ha]","ha","66.4","27","42","37.5","22.1","28","21.3","21.6","23.1","22.5",
"콩","문내면","생산량[M/T]","M/T","106.2","45.4","57.5","53.6","22.1","52.1","20.6","32","34.9","34.1",
"콩","화원면","면적[ha]","ha","23","16","38.8","39.8","22.4","11.3","11","11.2","12","11.6",
"콩","화원면","생산량[M/T]","M/T","34.5","26.9","53.2","56.9","22.4","21","17","16.6","18.1","17.6",
"팥","합계","면적[ha]","ha","32.3","74.1","77.4","82","148.9","46.2","36.3","36.8","39.3","38",
"팥","합계","생산량[M/T]","M/T","42","77","80.5","86.1","88.1","53.6","30.2","40.4","44.1","42.6",
"팥","해남읍","면적[ha]","ha","8","16.4","40.2","25.6","28.1","4.9","7.3","7.4","7.9","7.7",
