"행정구역(읍면)별","작물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"계화면","맥류","면적[㏊]","㏊","411.4","416.5","425","361.2","381.1","376.2","366","484.2","395","590","619","618","613",
"계화면","맥류","생산량[M/T]","M/T","1665.3","1840.2","1874.6","1462.9","896.4","1259.1","1225.8","1537.5","1410","12607","3067.4","2795","2772",
"계화면","잡곡","면적[㏊]","㏊","11.8","16.5","11.5","12.7","13","12.7","13.1","-","4","4","4","4","-",
"계화면","잡곡","생산량[M/T]","M/T","25.4","27","17.3","20.3","23.8","22.9","23.5","-","5.7","5.7","4.6","4.6","-",
"계화면","두류","면적[㏊]","㏊","8","6","6","6.6","6.7","70","70","50","39.6","73","109.3","110.5","53",
"계화면","두류","생산량[M/T]","M/T","14.9","10","11.1","10.6","12.8","106.2","106.2","91.2","84.1","68.3","324.6","325.7","111.5",
"계화면","서류","면적[㏊]","㏊","37.5","43","104.4","107.5","107.5","106.7","106.7","43","43","43","24","41","40",
"계화면","서류","생산량[M/T]","M/T","1092.5","1106.5","3292.7","3308","2250.5","2218.9","2218.9","685.9","685.9","685.9","559.7","956.1","782",
"보안면","합계","면적[㏊]","㏊","1296.2","1427.6","1318.1","1305.1","1281.3","1238","1185","1168.7","1097.4","1029.2","1050.1","1097.4","1029.1",
"보안면","합계","생산량[M/T]","M/T","6414.9","7128.6","6516.6","6421.4","6419.8","6414.7","6353.8","6302.7","5838.7","5483.6","5538","5479.5","5439.3",
"보안면","미곡","면적[㏊]","㏊","1043","1229","1100","1096.7","1065.9","1055.2","1001.6","1025","934.8","905.6","881.7","912.7","873.9",
"보안면","미곡","생산량[M/T]","M/T","5233","6145","5500","5483.5","5720.7","5723","5700","5807.6","5178.8","4953.6","4584.5","4549.6","4654.3",
"보안면","맥류","면적[㏊]","㏊","167.9","123","123","104.5","110.2","79.1","78.7","82.1","101","62","116.5","119.5","73.6",
"보안면","맥류","생산량[M/T]","M/T","661.5","497.6","497.6","423.2","259.2","262.5","241.6","257.2","356","245","561","520","331.2",
"보안면","잡곡","면적[㏊]","㏊","31.8","25.9","43","47.7","48.7","48.4","49.5","-","-","-","-","-","-",
