"정곡별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"잡곡","북평면","생산량[M/T]","M/T","11.8","10.2","10.3","22","13.7","-","21.1","19","30.9","29.3",
"잡곡","북일면","면적[㏊]","㏊",".1","0","-","-",".2","1","1","1","1.4","1.3",
"잡곡","북일면","생산량[M/T]","M/T",".1","0","-","-",".6","3.6","3","2.8","4.6","4.3",
"잡곡","옥천면","면적[㏊]","㏊","21.6","73.7","29.9","17.4","6.5","3.3","6.1","6","8.4","7.9",
"잡곡","옥천면","생산량[M/T]","M/T","33.2","97.2","40","23","9.5","6","17.3","11.9","19.3","18.3",
"잡곡","계곡면","면적[㏊]","㏊","12","15.7","2","1.5","2.4","3","92.4","91","127.9","121.6",
"잡곡","계곡면","생산량[M/T]","M/T","18","18.1","2.9","2.8","3.7","5.5","40.6","41.3","67.1","63.7",
"잡곡","마산면","면적[㏊]","㏊","47.9","104.1","52.1","41.9","38.1","38.4","69","68.1","95.7","91",
"잡곡","마산면","생산량[M/T]","M/T","64.4","131.5","69.2","74.4","51.6","88.4","150.3","163.6","265.9","253",
"잡곡","황산면","면적[㏊]","㏊","6.8","27.6","13.1","11.6","14.5","5","4.8","4.8","6.7","6.3",
"잡곡","황산면","생산량[M/T]","M/T","9.9","35.5","23.5","27.7","17.1","13.2","6.6","10.3","16.7","15.8",
"잡곡","산이면","면적[㏊]","㏊","60.5","144.6","40.8","52.5","64.2","45","109.3","108","151.8","144.5",
"잡곡","산이면","생산량[M/T]","M/T","83","234.4","79.5","94.8","47.3","90.6","54.4","63.1","102.5","97.5",
"잡곡","문내면","면적[㏊]","㏊","9.4","7.6","15.1","15","2","5","1.3","1.3","1.8","1.7",
"잡곡","문내면","생산량[M/T]","M/T","16.6","17.3","33.7","21.9","2.4","7.7","1.7","2","3.3","3",
"잡곡","화원면","면적[㏊]","㏊","13.9","15.3","12.6","17.1","25.3","11.5","10.1","10","14.1","16",
"잡곡","화원면","생산량[M/T]","M/T","19.1","21.4","18.7","25.9","17.4","13.3","9.9","13.7","22.3","30",
"두류","합계","면적[㏊]","㏊","913","788","722.2","543.9","448.4","372.1","384.7","390","416.9","405.1",
"두류","합계","생산량[M/T]","M/T","1342.4","1241.8","938.7","720.5","367.4","624.7","417.4","553.6","604.5","587.9",
"두류","해남읍","면적[㏊]","㏊","40.8","49.7","68.9","48.1","39.1","17.4","24.8","25.2","26.9","26.1",
"두류","해남읍","생산량[M/T]","M/T","58","65.8","79.9","58.3","27","27.9","52.4","28.8","31.4","30.6",
"두류","삼산면","면적[㏊]","㏊","32.4","33.5","28.1","18.5","44.6","24.3","24.3","24.6","26.3","25.6",
"두류","삼산면","생산량[M/T]","M/T","48.7","51.7","36.3","24.8","32.1","43","31.1","35.4","38.7","37.5",
"두류","화산면","면적[㏊]","㏊","34.7","35","33","34.5","35.8","5","13","13.2","14.1","13.6",
"두류","화산면","생산량[M/T]","M/T","53.5","57.6","44.5","48.5","30.6","7.9","9","17.8","19.4","18.8",
"두류","현산면","면적[㏊]","㏊","105.4","69.2","23.8","31.4","21.1","29.8","20","20.3","21.7","21",
"두류","현산면","생산량[M/T]","M/T","143.9","108.4","30.4","42","19.8","52.7","21","27.6","30.1","29.2",
"두류","송지면","면적[㏊]","㏊","193.4","197","199.5","17.6","10.3","10.4","16","16.2","17.3","16.8",
