"읍면동별","미곡별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"부량면","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"부량면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"부량면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"공덕면","합계","면적[㏊]","㏊","1293","1293","1294","1294","1274","1294","1562","1562","1487","1103","1179",
"공덕면","합계","생산량[M/T]","M/T","6917.6","6917.6","6910","6910","7134","7246.4","8555","8555","8017","6772.4","6602.4",
"공덕면","논벼","면적[㏊]","㏊","1293","1293","1294","1294","1274","1294","1562","1562","1487","1103","1179",
"공덕면","논벼","생산량[M/T]","M/T","6917.6","6917.6","6910","6910","7134","7246.4","8555","8555","8017","6772.4","6602.4",
"공덕면","논벼","단위생산량[㎏/10a]","㎏/10a","535","535","534","534","560","560","548","548","539","614","",
"공덕면","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"공덕면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"공덕면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"청하면","합계","면적[㏊]","㏊","917","915","915","917","948","953","861","861","786.3","856","861.2",
"청하면","합계","생산량[M/T]","M/T","4970.1","4500","3660","4860","5404","5432.1","4659.3","4660","4121.6","5256.6","4822.4",
"청하면","논벼","면적[㏊]","㏊","917","915","915","917","948","953","861.3","861","786.3","856","861",
"청하면","논벼","생산량[M/T]","M/T","4970.1","4500","3660","4860","5404","5432.1","4659.6","4660","4121.6","5255.8","4821.6",
"청하면","논벼","단위생산량[㎏/10a]","㎏/10a","542","491","400","530","570","570","541","541","524","614","",
"청하면","밭벼","면적[㏊]","㏊","","","","-","-","","","","",".2",".2",
"청하면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","",".8",".8",
"청하면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","400","",
"성덕면","합계","면적[㏊]","㏊","1206","1325","1256","1256","1277","1277","1178","1077","1002","1062","1077",
"성덕면","합계","생산량[M/T]","M/T","6452.1","7542","6280","6280","7279","7278.9","6726.3","6124","5586.3","6520.7","6031.2",
"성덕면","논벼","면적[㏊]","㏊","1206","1100","1110","1110","1277","1277","1178","1077","1002","1062","1077",
"성덕면","논벼","생산량[M/T]","M/T","6452.1","6261","5550","5550","7279","7278.9","6726.3","6124","5586.3","6520.7","6031.2",
"성덕면","논벼","단위생산량[㎏/10a]","㎏/10a","535","569.2","500","500","570","570","571","551","557","614","",
"성덕면","밭벼","면적[㏊]","㏊","","225","146","146","-","","","","","0","-",
"성덕면","밭벼","생산량[M/T]","M/T","","1281","730","730","-","","","","","0","-",
"성덕면","밭벼","단위생산량[㎏/10a]","㎏/10a","","569.2","500","500","-","","","","","0","",
"진봉면","합계","면적[㏊]","㏊","2159","2054","2054","2106","2018","2018","2018","2547","2472","1840","1840",
"진봉면","합계","생산량[M/T]","M/T","11010.9","10372.7","10331.6","10530","11161","11361.3","11361.34","13289","12751","11295.8","10304",
"진봉면","논벼","면적[㏊]","㏊","2159","2054","2054","2106","2018","2018","2018","2547","2472","1840","1840",
"진봉면","논벼","생산량[M/T]","M/T","11010.9","10372.7","10331.6","10530","11161","11361.3","11361.34","13289","12750","11295.8","10304",
"진봉면","논벼","단위생산량[㎏/10a]","㎏/10a","510","505","503","500","563","563","563","521","516","614","",
"진봉면","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"진봉면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"진봉면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"금구면","합계","면적[㏊]","㏊","1244","1036","1085","1269","1221","1221","1225","1225","1150","902","1001",
"금구면","합계","생산량[M/T]","M/T","6220","5180","5705","6738","6532","6532.4","6540","6540","6002","5538.3","5605.6",
"금구면","논벼","면적[㏊]","㏊","1244","1036","1085","1269","1221","1221","1225","1225","1150","902","1001",
"금구면","논벼","생산량[M/T]","M/T","6220","5180","5705","6738","6532","6532.4","6540","6540","6002","5538.3","5605.6",
"금구면","논벼","단위생산량[㎏/10a]","㎏/10a","500","500","530","531","535","535","537","537","522","614","",
"금구면","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"금구면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"금구면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"봉남면","합계","면적[㏊]","㏊","1459","1436","1436","1436","1382","1382","1104","1104","1029","1289","1289",
"봉남면","합계","생산량[M/T]","M/T","7732.7","7898","7898","8616","7753","7753","6157","6157","5619","7913.8","7218.4",
"봉남면","논벼","면적[㏊]","㏊","1459","1436","1436","1436","1382","1382","1104","1104","1029","1289","1289",
"봉남면","논벼","생산량[M/T]","M/T","7732.7","7898","7898","8616","7753","7753","6157","6157","5619","7913.8","7218.4",
"봉남면","논벼","단위생산량[㎏/10a]","㎏/10a","530","550","","-","561","561","29","29","546","614","",
"봉남면","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"봉남면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"봉남면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"황산면","합계","면적[㏊]","㏊","728","728","705","705","708","708","710","708","633","697","717.1",
"황산면","합계","생산량[M/T]","M/T","3785.6","3785.6","3579","3579","3894","3894","4014","3894","3356","4280","4015.6",
"황산면","논벼","면적[㏊]","㏊","728","728","705","705","708","708","710","708","633","697","717",
"황산면","논벼","생산량[M/T]","M/T","3785.6","3785.6","3579","3579","3894","3894","4014","3894","3356","4279.6","4015.2",
"황산면","논벼","단위생산량[㎏/10a]","㎏/10a","520","520","507","507","550","550","565","562","530","614","",
"황산면","밭벼","면적[㏊]","㏊","","","","-","-","","","","",".1",".1",
"황산면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","",".4",".4",
"황산면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","300","",
"금산면","합계","면적[㏊]","㏊","843","843","842","847","591","591","591","585","510","447","585",
"금산면","합계","생산량[M/T]","M/T","4417.3","4417.3","4405","4432","3162","3161.9","3161.85","2786","2248.2","2744.6","3276",
"금산면","논벼","면적[㏊]","㏊","843","843","842","847","591","591","591","585","510","447","585",
"금산면","논벼","생산량[M/T]","M/T","4417.3","4417.3","4405","4432","3162","3161.9","3161.85","2786","2248.2","2744.6","3276",
"금산면","논벼","단위생산량[㎏/10a]","㎏/10a","524","524","","-","535","535","535","471","441","614","",
"금산면","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"금산면","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"금산면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"광활면","합계","면적[㏊]","㏊","1506","1201","1328","1347","1341","1341","1341","463","41.5","1369","1369",
"광활면","합계","생산량[M/T]","M/T","8042","6413.3","6772.8","7130","7711","7710.8","7710.75","425","398","8405.7","7666.4",
"광활면","논벼","면적[㏊]","㏊","1506","1201","1328","1347","1341","1341","1341","50","41","1369","1369",
"광활면","논벼","생산량[M/T]","M/T","8042","6413.3","6772.8","7130","7711","7710.8","7710.75","2","397","8405.7","7666.4",
"광활면","논벼","단위생산량[㎏/10a]","㎏/10a","534","534","56","-","575","575","575","836","968","614","",
"광활면","밭벼","면적[㏊]","㏊","","","","-","-","","","413",".5","0","-",
"광활면","밭벼","생산량[M/T]","M/T","","","","-","-","","","423","2","0","-",
"광활면","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","400","0","",
"요촌동","합계","면적[㏊]","㏊","261","261","271","271","214","214","265","253","178","149","323",
"요촌동","합계","생산량[M/T]","M/T","1331.1","1331.1","1219","1219","1179","1179.1","1182","1073","536","917.3","1808.8",
"요촌동","논벼","면적[㏊]","㏊","261","261","271","271","214","214","265","253","178","149","323",
"요촌동","논벼","생산량[M/T]","M/T","1331.1","1331.1","1219","1219","1179","1179.1","1182","1073","536","917.3","1808.8",
"요촌동","논벼","단위생산량[㎏/10a]","㎏/10a","510","510","449","449","551","551","446","413","301","614","",
"요촌동","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"요촌동","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
