"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"죽산면","밀","단위생산량[㎏/10a]","㎏/10a","326","326","326","326","400","400","441.7","432.8","420.6","419.9","419.9","400",
"죽산면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"죽산면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"죽산면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"죽산면","맥주보리","면적[㏊]","㏊","","","","","","","-","","",".8",".6",".6",
"죽산면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","5","4.5","3.6",
"죽산면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","625","750","600",
"백산면","합계","면적[㏊]","㏊","35.5","35.5","36","36","24","24","77.2","78","153","61.4","62.6","62.6",
"백산면","합계","생산량[M/T]","M/T","141.6","143.6","145.1","145.1","98.6","98.6","307","310","771","207","210.4","209.2",
"백산면","겉보리","면적[㏊]","㏊","2.5","2.5","3","3","4","4","32","33","70.2","14.4","17.2","17.2",
"백산면","겉보리","생산량[M/T]","M/T","10.3","11","12.5","12.5","16.6","16.6","140","141","371.5","46.2","55.2","56.8",
"백산면","겉보리","단위생산량[㎏/10a]","㎏/10a","412","415","415","415","415","415","437","427","529.2","321","321","330",
"백산면","쌀보리","면적[㏊]","㏊","22","22","22","22","20","20","41","45","82.8","44.9","42.8","42.8",
"백산면","쌀보리","생산량[M/T]","M/T","87.3","87.3","87.3","87.3","82","82","167","169","399.5","151.3","144.2","141.2",
"백산면","쌀보리","단위생산량[㎏/10a]","㎏/10a","396.8","396.8","396.8","396.8","410","410","407","380","482.5","337","337","330",
"백산면","밀","면적[㏊]","㏊","11","11","11","11","","","4.2","","","1.8","2.2","2.2",
"백산면","밀","생산량[M/T]","M/T","44","45.3","45.3","45.3","","","-","","","7.6","9.3","8.8",
"백산면","밀","단위생산량[㎏/10a]","㎏/10a","400","412","412","412","","","-","","","422.2","422.2","400",
"백산면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"백산면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"백산면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"백산면","맥주보리","면적[㏊]","㏊","","","","","","","-","","",".3",".4",".4",
"백산면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","1.9","1.7","2.4",
"백산면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","633.3","425","600",
"용지면","합계","면적[㏊]","㏊","3","3","3","3.8","1.5","1.5","1.5","1.5","79","15.5","0","0",
"용지면","합계","생산량[M/T]","M/T","13.8","13.8","11.9","22","6.8","6.8","6.8","6.8","469","57.9","0","0",
"용지면","겉보리","면적[㏊]","㏊","3","3","3","-","","","-","","","2.1","0","0",
"용지면","겉보리","생산량[M/T]","M/T","13.8","13.8","11.9","-","","","-","","","6.7","0","0",
"용지면","겉보리","단위생산량[㎏/10a]","㎏/10a","460","460","400","0","","","-","","","321","0","0",
