"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"광활면","겉보리","단위생산량[㎏/10a]","㎏/10a","440","433.7","119","447.4","460","460","460","460","571.9","321","321","330",
"광활면","쌀보리","면적[㏊]","㏊","295","291.8","399","428.1","250","250","250","245","284","526.3","512.5","512.5",
"광활면","쌀보리","생산량[M/T]","M/T","1180","1167.2","1608.9","1912","1162.5","1162.5","1162.5","1139.2","1369.7","1773.6","1727.1","1691.3",
"광활면","쌀보리","단위생산량[㎏/10a]","㎏/10a","400","400","403.2","446.6","465","465","465","465","482.3","337","337","330",
"광활면","밀","면적[㏊]","㏊","","3.2","2","1","","","-","","","9","8.7","20",
"광활면","밀","생산량[M/T]","M/T","","19.2","12","9.1","","","-","","","37.8","31.7","80",
"광활면","밀","단위생산량[㎏/10a]","㎏/10a","","600","600","910","","","-","","","364.4","364.4","400",
"광활면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"광활면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"광활면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"광활면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","22.2","19.4","19.4",
"광활면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","137.6","131.2","116.4",
"광활면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","606.3","676.3","600",
"요촌동","합계","면적[㏊]","㏊","7","7","1","1","-","","","","75","13.2","15.3","15.3",
"요촌동","합계","생산량[M/T]","M/T","30.1","30.1","4.3","4.3","-","","","","","44.6","51.9","51.6",
"요촌동","겉보리","면적[㏊]","㏊","","","","-","","","","","","4.7","5.4","5.4",
"요촌동","겉보리","생산량[M/T]","M/T","","","","-","","","","","","15.1","17.3","17.8",
"요촌동","겉보리","단위생산량[㎏/10a]","㎏/10a","","-","","-","","","","","","321","321","330",
"요촌동","쌀보리","면적[㏊]","㏊","7","7","1","1","","","","","75","7.5","8.3","8.3",
"요촌동","쌀보리","생산량[M/T]","M/T","30.1","30.1","4.3","4.3","","","","","","25.3","28","27.4",
"요촌동","쌀보리","단위생산량[㎏/10a]","㎏/10a","430","430","430","430","","","","","","337","337","330",
"요촌동","밀","면적[㏊]","㏊","","","","-","","","","","","1","1.6","1.6",
"요촌동","밀","생산량[M/T]","M/T","","","","-","","","","","","4.2","6.6","6.4",
"요촌동","밀","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","410","410","400",
"요촌동","맥주보리","면적[㏊]","㏊","","","","","","","","","","","-","0",
"요촌동","맥주보리","생산량[M/T]","M/T","","","","","","","","","","","-","0",
"요촌동","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","","-","0",
"신풍동","합계","면적[㏊]","㏊","16","28","4","3","50","50","45","45","120","22.4","25.1","25.1",
"신풍동","합계","생산량[M/T]","M/T","67.6","72.1","16","13.5","224.5","224.5","207","207","668","73.6","84.3","84.5",
"신풍동","겉보리","면적[㏊]","㏊","2","11","","450","5","5","5","5","41","12.1","11.2","11.2",
"신풍동","겉보리","생산량[M/T]","M/T","8.1","40.1","","-","22","22","22","22","252.5","38.8","36","37",
"신풍동","겉보리","단위생산량[㎏/10a]","㎏/10a","405","364.5","","-","440","440","440","440","615.9","321","321","330",
"신풍동","쌀보리","면적[㏊]","㏊","9","12","4","3","45","45","40","40","79","10.3","11.5","11.5",
"신풍동","쌀보리","생산량[M/T]","M/T","40.5","53","16","13.5","202.5","202.5","185","185","415.5","34.7","38.8","38",
"신풍동","쌀보리","단위생산량[㎏/10a]","㎏/10a","450","500","400","450","450","450","462.5","462.5","525.9","337","337","330",
"신풍동","밀","면적[㏊]","㏊","5","5","","-","","","-","","","-","2.4","2.4",
"신풍동","밀","생산량[M/T]","M/T","19","19","","-","","","-","","","-","9.6","9.6",
"신풍동","밀","단위생산량[㎏/10a]","㎏/10a","380","380","","-","","","-","","","","400","400",
"신풍동","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"신풍동","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"신풍동","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"신풍동","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"신풍동","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"신풍동","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"검산동","합계","면적[㏊]","㏊","6.5","6.5","4","4.6","2","2","462","5","80","8.6","10.5","10.5",
"검산동","합계","생산량[M/T]","M/T","24.8","24.8","16","16","9.2","9.2","9.2","20","481","28.1","34.4","34.7",
"검산동","겉보리","면적[㏊]","㏊","","","","-","","","460","2.5","39.5","5.3","6.3","6.3",
"검산동","겉보리","생산량[M/T]","M/T","","","","-","","","-","11","356.6","17","20.2","20.8",
"검산동","겉보리","단위생산량[㎏/10a]","㎏/10a","","-","","-","","","-","","902.8","321","321","330",
"검산동","쌀보리","면적[㏊]","㏊","4","4","4","4.3","2","2","2","2","40.5","3.3","4.2","4.2",
"검산동","쌀보리","생산량[M/T]","M/T","16","16","16","16","9.2","9.2","9.2","9.2","124.4","11.1","14.2","13.9",
"검산동","쌀보리","단위생산량[㎏/10a]","㎏/10a","400","400","400","372.1","460","460","460","460","307.2","337","337","330",
"검산동","밀","면적[㏊]","㏊","2.5","2.5","","-","","","-","","","-","-","0",
"검산동","밀","생산량[M/T]","M/T","8.8","8.8","","-","","","-","","","-","0","0",
"검산동","밀","단위생산량[㎏/10a]","㎏/10a","350","350","","-","","","-","","","","-","0",
"검산동","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"검산동","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"검산동","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"검산동","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"검산동","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"검산동","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"교월동","합계","면적[㏊]","㏊","68.1","74.1","141","136","130","130","98","98","173","219.6","217.1","231",
"교월동","합계","생산량[M/T]","M/T","260.6","326.2","655.5","633.9","576","576","483","483","944","734","724","786.3",
"교월동","겉보리","면적[㏊]","㏊","2.4","3.1","35","33","71","71","50","50","64","131.4","129.5","129.5",
"교월동","겉보리","생산량[M/T]","M/T","11","18","157.5","148.5","319.5","319.5","249","249","479.5","421.8","415.7","427.4",
"교월동","겉보리","단위생산량[㎏/10a]","㎏/10a","460","580","450","450","450","450","450","450","749.2","321","321","330",
"교월동","쌀보리","면적[㏊]","㏊","13","15","100","98","50","50","41","41","56.2","82.2","81.5","81.5",
"교월동","쌀보리","생산량[M/T]","M/T","59.8","87","480","470.4","225","225","210","210","440.5","277","274.7","269",
"교월동","쌀보리","단위생산량[㎏/10a]","㎏/10a","460","580","480","480","450","450","512.2","450","783.8","337","337","330",
"교월동","밀","면적[㏊]","㏊","52.7","56","6","5","9","9","7","7","52.8","1","1.1","15",
"교월동","밀","생산량[M/T]","M/T","189.7","221.2","18","15","31.5","31.5","24","24","24","4.2","4.6","60",
"교월동","밀","단위생산량[㎏/10a]","㎏/10a","360","395","300","300","350","350","350","350","45.5","420","420","400",
"교월동","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"교월동","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"교월동","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"교월동","맥주보리","면적[㏊]","㏊","","","","","","","-","","","5","5","5",
"교월동","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","31","29","30",
"교월동","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","620","580","600",
