"잡곡별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","마산면","생산량[M/T]","M/T","64.4","131.5","69.2","74.4","51.6","88.4","150.3","163.6","265.9","253",
"합계","황산면","면적[ha]","ha","6.8","27.6","13.1","11.6","14.5","5","4.8","4.8","6.7","6.3",
"합계","황산면","생산량[M/T]","M/T","9.9","35.5","23.5","27.7","17.1","13.2","6.6","10.3","16.7","15.8",
"합계","산이면","면적[ha]","ha","60.5","144.6","40.8","52.5","64.2","45","109.3","108","151.8","144.5",
"합계","산이면","생산량[M/T]","M/T","83","234.4","79.5","94.8","47.3","90.6","54.4","63.1","102.5","97.5",
"합계","문내면","면적[ha]","ha","9.4","7.6","15.1","15","2","5","1.3","1.3","1.8","1.7",
"합계","문내면","생산량[M/T]","M/T","16.6","17.3","33.7","21.9","2.4","7.7","1.7","2","3.3","3",
"합계","화원면","면적[ha]","ha","13.9","15.3","12.6","17.1","25.3","11.5","10.1","10","14.1","16",
"합계","화원면","생산량[M/T]","M/T","19.1","21.4","18.7","25.9","17.4","13.3","9.9","13.7","22.3","30",
"조","합계","면적[ha]","ha","167.9","109.5","73.7","62.4","65.5","54.1","58.7","57.9","81.4","77.1",
"조","합계","생산량[M/T]","M/T","209.9","136.9","105.4","115.4","101.2","126.8","112.6","111.1","180.5","171.6",
"조","해남읍","면적[ha]","ha","6.7","5.9","2",".5",".2","-","1.8","1.8","2.5","2.4",
"조","해남읍","생산량[M/T]","M/T","8.4","7.4","2.9",".9",".3","-","1.3","3.5","5.7","5.4",
"조","삼산면","면적[ha]","ha","15.5","8.2","4.6","5.5","8.8","6.3","6.3","6.2","8.7","8.2",
"조","삼산면","생산량[M/T]","M/T","19.4","10.3","6.6","10.2","14.1","12.6","12.6","11.9","19.3","18.4",
"조","화산면","면적[ha]","ha","4.8","5.2","1.1","1.3","1",".4","-","-","-","-",
"조","화산면","생산량[M/T]","M/T","6","6.5","1.6","2.4","1.6","1","-","-","-","-",
"조","현산면","면적[ha]","ha","39.2","9","13.9","4.8","12.1","3.8","8.4","8.3","11.7","11.1",
"조","현산면","생산량[M/T]","M/T","49","11.3","19.9","8.9","19.1","9.6","19.5","15.9","25.8","24.5",
"조","송지면","면적[ha]","ha","3.2","3","",".1","","-","-","-","-","-",
"조","송지면","생산량[M/T]","M/T","4","3.8","-",".2","","-","-","-","-","-",
"조","북평면","면적[ha]","ha","","-","-",".1",".1","-","-","-","-","-",
"조","북평면","생산량[M/T]","M/T","","-","-",".2",".2","-","-","-","-","-",
"조","북일면","면적[ha]","ha",".1","0","-","-","","-","-","-","-","-",
"조","북일면","생산량[M/T]","M/T",".1","0","-","-","","-","-","-","-","-",
"조","옥천면","면적[ha]","ha","7","6.2","5","5","5.1","2.6","4.2","4.1","5.8","5.4",
"조","옥천면","생산량[M/T]","M/T","8.8","7.7","7.2","9.3","8.2","5.2","8.8","7.9","12.8","12.2",
"조","계곡면","면적[ha]","ha","9","11.7","2","1.5","2","2","2","2","2.8","2.6",
"조","계곡면","생산량[M/T]","M/T","11.3","14.6","2.9","2.8","3.2","4","4","3.8","6.2","5.8",
