"행정구역(읍면)별","잡곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"주산면","메밀","단위생산량[kg/10a]","kg/10a","121.4","106.7","106.7","125","145","145.1","130","80","140","140","115","140","140",
"주산면","기타","면적[㏊]","㏊","14.8","14.8","12","14","7.6","8.1","8.3","8","8","7","7","7",".9",
"주산면","기타","생산량[M/T]","M/T","22.3","22.3","17.7","23","8.1","9.1","12.4","8.4","10.5","10.5","8","8","1.2",
"주산면","기타","단위생산량[kg/10a]","kg/10a","151","151","148","164","107","112.3","149.8","105","131.3","150","114","114","141.2",
"동진면","합계","면적[㏊]","㏊","13.6","13.6","13","15","7.9","7.9","8.1",".7",".7",".6",".6",".6",".7",
"동진면","합계","생산량[M/T]","M/T","20.3","20.3","17.1","22.8","13.7","13.7","11.2",".7",".9",".9",".7",".7",".7",
"동진면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"동진면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"동진면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"동진면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"동진면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"동진면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"동진면","옥수수","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"동진면","옥수수","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"동진면","옥수수","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"동진면","메밀","면적[㏊]","㏊",".5",".5",".5","1","1","1","1","-","-","-","-","-","-",
"동진면","메밀","생산량[M/T]","M/T",".6",".6",".6",".8","1.2","1.2","1.3","-","-","-","-","-","-",
"동진면","메밀","단위생산량[kg/10a]","kg/10a","116","120","120","80","120","120.1","130","-","-","-","-","-","-",
"동진면","기타","면적[㏊]","㏊","13.1","13.1","12.5","14","6.9","6.9","7.1",".7",".7",".6",".6",".6",".7",
"동진면","기타","생산량[M/T]","M/T","19.7","19.7","16.5","22","12.5","12.5","9.9",".7",".9",".9",".7",".7",".7",
"동진면","기타","단위생산량[kg/10a]","kg/10a","150","150","132","157","181","181.2","140.3","100","128.6","150","115","115","95.7",
"행안면","합계","면적[㏊]","㏊","21.8","21.5","20.4","24.5","9.3","9","9.3","-","-","-","-","-","-",
"행안면","합계","생산량[M/T]","M/T","35.4","34.3","35.6","39","16.5","15.7","18","-","-","-","-","-","-",
"행안면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"행안면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"행안면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"행안면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"행안면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"행안면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"행안면","옥수수","면적[㏊]","㏊","1","1","2","3","3","2.7","2.9","-","-","-","-","-","-",
"행안면","옥수수","생산량[M/T]","M/T","3.9","3","6","8","8","7.2","9.1","-","-","-","-","-","-",
