"읍면동별","잡곡별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"만경읍","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"죽산면","합계","면적[㏊]","㏊","","","","","","","10.6","","",".8",".6",".6",
"죽산면","합계","생산량[M/T]","M/T","","","","","","","74.2","","","2.2","2.2","1.8",
"죽산면","옥수수","면적[㏊]","㏊","","","","","","","","","",".8",".6",".6",
"죽산면","옥수수","생산량[M/T]","M/T","","","","","","","","","","2.2","2.2","1.8",
"죽산면","옥수수","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","275","366.7","300",
"죽산면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"죽산면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"죽산면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"죽산면","기타","면적[㏊]","㏊","","","","","","","10.6","","","0","0","-",
"죽산면","기타","생산량[M/T]","M/T","","","","","","","74.2","","","0","0","-",
"죽산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","700","","","0","0","",
"백산면","합계","면적[㏊]","㏊","3","3","5","5","5","5","5.4","4.8","7","16.9","16.1","16.1",
"백산면","합계","생산량[M/T]","M/T","9","9","15","15","7.5","7.5","17","16","19","43.3","42.1","47.82",
"백산면","옥수수","면적[㏊]","㏊","3","3","5","5","5","5","5.4","4.8","7","15","14.5","14.5",
"백산면","옥수수","생산량[M/T]","M/T","9","9","15","15","7.5","7.5","17","16","19","38.5","37.5","43.5",
"백산면","옥수수","단위생산량[㎏/10a]","㎏/10a","300","300","500","500","150","150","314","333","271.4","256.7","258.6","300",
"백산면","메밀","면적[㏊]","㏊","","","","","","","","","","1.9","1.6","1.6",
"백산면","메밀","생산량[M/T]","M/T","","","","","","","","","","4.8","4.6","4.32",
"백산면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","252.6","287.5","270",
"백산면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"백산면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"백산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"용지면","합계","면적[㏊]","㏊","11.8","11.8","11.5","10","11.1","11.1","10.2","10.8","12","16.4","16.2","16.2",
"용지면","합계","생산량[M/T]","M/T","29.2","29.2","26","26.2","19.1","19.1","18","20","23","42.1","40.8","48.48",
"용지면","옥수수","면적[㏊]","㏊","11","11",".5","6.5","6.6","6.6","5.7","6.3","7.5","16","15.8","15.8",
"용지면","옥수수","생산량[M/T]","M/T","28.3","28.3",".7","9.7","7.9","7.9","6.8","8.4","11.4","41.1","39.8","47.4",
"용지면","옥수수","단위생산량[㎏/10a]","㎏/10a","257","257","140","149","120","120","119.29","133.3","152","256.9","251.9","300",
"용지면","메밀","면적[㏊]","㏊",".8",".8","11","3.5","4.5","4.5","4.5","4.5","4.5",".4",".4",".4",
"용지면","메밀","생산량[M/T]","M/T",".9",".9","25.3","8.4","11.2","11.2","11.2","11.6","11.6","1","1","1.08",
"용지면","메밀","단위생산량[㎏/10a]","㎏/10a","112","112","230","240","250","250","250","257.8","257","250","250","270",
"용지면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"용지면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"용지면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"백구면","합계","면적[㏊]","㏊","2","3","1.9","1.8","1.8","1.8",".7",".7","3","3.1","3.4","3.4",
"백구면","합계","생산량[M/T]","M/T","5","7","3.1","2.9","4","4","1.3","1.3","1","8","7.5","10.2",
"백구면","옥수수","면적[㏊]","㏊","2","3","1.9","1.8","1.8","1.8",".7",".7","3","3.1","3.4","3.4",
"백구면","옥수수","생산량[M/T]","M/T","5","7","3.1","2.9","4","4","1.26","1.3","1","8","7.5","10.2",
"백구면","옥수수","단위생산량[㎏/10a]","㎏/10a","250","250","250","249","222","222","180","180","33.3","258.1","220.6","300",
"백구면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"백구면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"백구면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"백구면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"백구면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"백구면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"부량면","합계","면적[㏊]","㏊","","","","","","","","","","2.6","2.7","2.7",
"부량면","합계","생산량[M/T]","M/T","","","","","","","","","","6.7","6.7","8.1",
"부량면","옥수수","면적[㏊]","㏊","","","","","","","","","","2.6","2.7","2.7",
"부량면","옥수수","생산량[M/T]","M/T","","","","","","","","","","6.7","6.7","8.1",
"부량면","옥수수","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","257.7","248.1","300",
"부량면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"부량면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"부량면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"부량면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"부량면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"부량면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"공덕면","합계","면적[㏊]","㏊","1","1","1.4","1.4","3","3","82","82","83","6.6","5.8","5.8",
"공덕면","합계","생산량[M/T]","M/T","2.5","2.5","3.4","3.4","8.5","8.5","232","232","239","17","16.5","17.4",
"공덕면","옥수수","면적[㏊]","㏊","1","1","1.4","1.4","3","3","82","82","83","6.6","5.8","5.8",
