"읍면동별","두류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"만경읍","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"만경읍","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"만경읍","기타","면적[㏊]","㏊","","2","2.5","-","","","","","","","-",
"만경읍","기타","생산량[M/T]","M/T","","3.5","4.3","-","","","","","","","-",
"만경읍","기타","단위생산량[㎏/10a]","㎏/10a","","57","175","-","","","","","","","-",
"죽산면","합계","면적[㏊]","㏊","40","40","156","180","230","200","222","798","850","1590.8","1522.2",
"죽산면","합계","생산량[M/T]","M/T","120","120","468","675","759","699.1","2541.9","2928","3083","4832.5","4946.8",
"죽산면","콩","면적[㏊]","㏊","40","40","156","180","230","200","222","798","850","1590.5","1521.9",
"죽산면","콩","생산량[M/T]","M/T","120","120","468","675","759","699.1","2541.9","2928","3083","4831.9","4946.2",
"죽산면","콩","단위생산량[㎏/10a]","㎏/10a","300","300","300","375","330","330","1145","367","362.7","303.8","325",
"죽산면","팥","면적[㏊]","㏊","","","","-","","","","","",".3",".3",
"죽산면","팥","생산량[M/T]","M/T","","","","-","","","","","",".6",".6",
"죽산면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","200","200",
"죽산면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"죽산면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"죽산면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"죽산면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"죽산면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"죽산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"백산면","합계","면적[㏊]","㏊","4","4","4.5","4.5","4.5","4.5","6","11","63","157.7","127.3",
"백산면","합계","생산량[M/T]","M/T","7.6","7.6","8.6","8.6","8.3","8.3","8.1","21.5","180","419.9","412.2",
"백산면","콩","면적[㏊]","㏊","4","4","4.5","4.5","4.5","4.5","6","11","63","156.5","126.1",
"백산면","콩","생산량[M/T]","M/T","7.6","7.6","8.6","8.6","8.3","8.3","8.1","21.5","180","417.5","409.8",
"백산면","콩","단위생산량[㎏/10a]","㎏/10a","191","191","191","191","185","185","135","195","285.7","266.8","325",
"백산면","팥","면적[㏊]","㏊","","","","-","","","","","","1.2","1.2",
"백산면","팥","생산량[M/T]","M/T","","","","-","","","","","","2.4","2.4",
"백산면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","200","200",
"백산면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"백산면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"백산면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"백산면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"백산면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"백산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
