"행정구역(읍면)별","미곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"동진면","논벼","단위생산량[kg/10a]","kg/10a","486.7","500","500","500","536.7","542.6","569.9","566.6","554","547","520","499.2","517.5",
"동진면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"동진면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"동진면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"행안면","합계","면적[㏊]","㏊","1203","1019","1115","1111.6","1080.5","1069.7","1008.2","1077.1","994.1","895.8","872.2","903.2","864.4",
"행안면","합계","생산량[M/T]","M/T","6003","5095","5575","5558","5799.1","5801","5745.7","6102.5","5507.3","4900","4535.1","4500.2","4604.9",
"행안면","합계","단위생산량[kg/10a]","kg/10a","499","500","500","500","536.7","542.3","569.9","566.6","554","547","520","498.3","532.7",
"행안면","논벼","면적[㏊]","㏊","1203","1019","1115","1111.6","1080.5","1069.7","1008.2","1077.1","994.1","895.8","872.2","903.2","864.4",
"행안면","논벼","생산량[M/T]","M/T","6003","5095","5575","5558","5799","5801","5745.7","6102.5","5507.3","4900","4535.1","4500.2","4604.9",
"행안면","논벼","단위생산량[kg/10a]","kg/10a","499","500","500","500","536.7","542.3","569.9","566.6","554","547","520","498.3","532.7",
"행안면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"행안면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"행안면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"계화면","합계","면적[㏊]","㏊","3114","2717","2842","2833.4","2754.1","2726.6","2665.1","2739.1","2697","2459.2","2394.3","2454.3","2415.5",
"계화면","합계","생산량[M/T]","M/T","15878","13585","14210","14167","14781.3","14796.1","15189","15519.2","14941.4","13451.8","12451","12416.1","12520.8",
"계화면","합계","단위생산량[kg/10a]","kg/10a","509.9","500","500","500","536.7","542.7","569.9","566.6","554","547","520","505.9","518.4",
"계화면","논벼","면적[㏊]","㏊","3114","2717","2842","2833.4","2754.1","2726.6","2665.1","2739.1","2697","2459.2","2394.3","2454.3","2415.5",
"계화면","논벼","생산량[M/T]","M/T","15878","13585","14210","14167","14781","14796","15189","15519.2","14941.4","13451.8","12451","12416.1","12520.8",
"계화면","논벼","단위생산량[kg/10a]","kg/10a","509.9","500","500","500","536.7","542.7","569.9","566.6","554","547","520","505.9","518.4",
"계화면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"계화면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"계화면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"보안면","합계","면적[㏊]","㏊","1043","1229","1100","1096.7","1065.9","1055.2","1001.6","1025","934.8","905.6","881.7","912.7","873.9",
"보안면","합계","생산량[M/T]","M/T","5233","6145","5500","5483.5","5720.7","5723","5700","5807.6","5178.8","4953.6","4584.5","4549.6","4654.3",
"보안면","합계","단위생산량[kg/10a]","kg/10a","501.7","500","500","500","536.7","542.3","569.1","566.6","554","547","520","498.5","532.6",
"보안면","논벼","면적[㏊]","㏊","1043","1229","1100","1096.7","1065.9","1055.2","1001.6","1025","934.8","905.6","881.7","912.7","873.9",
"보안면","논벼","생산량[M/T]","M/T","5233","6145","5500","5484","5721","5723","5700","5807.6","5178.8","4953.6","4584.5","4549.6","4654.3",
"보안면","논벼","단위생산량[kg/10a]","kg/10a","501.7","500","500","500","536.7","542.3","569.1","566.6","554","547","520","498.5","532.6",
"보안면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"보안면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"보안면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"변산면","합계","면적[㏊]","㏊","442","327","317","316","307.1","301.1","267.7","288.8","255.1","244","237.6","237.6","198.7",
"변산면","합계","생산량[M/T]","M/T","2193.7","1626.7","1576.7","1571.9","1648.3","1642","1524.9","1636","1413.3","1334.7","1235.4","1200.5","1305.2",
"변산면","합계","단위생산량[kg/10a]","kg/10a","496.3","497.5","497.4","497.4","536.7","545.4","569.6","566.6","554","547","520","505.3","656.9",
"변산면","논벼","면적[㏊]","㏊","439","324","314","313","304.1","301.1","267.7","288.8","255.1","244","237.6","237.6","198.7",
"변산면","논벼","생산량[M/T]","M/T","2187","1620","1570","1565","1641","1642","1524.9","1636","1413.3","1334.7","1235.4","1200.5","1305.2",
"변산면","논벼","단위생산량[kg/10a]","kg/10a","498.2","500","500","500","539.8","545.4","569.6","566.6","554","547","520","505.3","656.9",
"변산면","밭벼","면적[㏊]","㏊","3","3","3","3","3","-","-","-","-","-","-","-","-",
"변산면","밭벼","생산량[M/T]","M/T","6.7","6.7","6.7","6.9","6.9","-","-","-","-","-","-","-","-",
"변산면","밭벼","단위생산량[kg/10a]","kg/10a","223.3","223.3","223.3","230","230","-","-","-","-","-","-","-","-",
"진서면","합계","면적[㏊]","㏊","190","208","227","226.3","219.9","215.7","197.5","225.9","207.2","181","176.2","176.2","137.3",
"진서면","합계","생산량[M/T]","M/T","905.2","1034.2","1129.2","1126","1180.3","1177","1124","1280.2","1147.9","990.1","916.2","881.3","986",
